timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1644620400,Feb 11 2022 - 11:00pm,complete,N/A,Deportivo Morón,Tristán Suárez,Diego Ceballos,1,0.00,0.00,1.67,0.56,0,0,0,0,0,0,"","",7,7,1,0,2,0,1,0,1,1,9,7,2,2,7,5,-1,-1,58,42,1.23,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,2.74,3.20,1.49,2.34,4.63,8.55,2.19,1.64,Estadio Nuevo Francisco Urbano (Morón- Provincia de Buenos Aires)
1644696000,Feb 12 2022 - 8:00pm,complete,N/A,Almagro,Club Atlético Mitre,Jorge Broggi,1,0.00,0.00,1.79,0.94,2,1,3,1,1,0,"31,82","59",7,3,1,0,2,0,0,1,1,1,16,11,5,6,11,5,-1,-1,46,54,1.81,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.08,3.06,3.89,1.50,2.38,4.50,9.50,2.20,1.62,Estadio Tres de Febrero (Tres de Febrero- Provincia de Buenos Aires)
1644696000,Feb 12 2022 - 8:00pm,complete,N/A,Deportivo Madryn,Agropecuario,Yamil Possi,1,0.00,0.00,1.61,0.67,1,0,1,0,0,0,"90'1","",7,3,2,1,0,0,1,2,0,0,8,13,2,7,6,6,-1,-1,42,58,1.03,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.27,2.98,2.09,1.48,2.13,4.25,8.75,2.00,1.74,Estadio Abel Sastre (Puerto Madryn- Provincia de Chubut)
1644696000,Feb 12 2022 - 8:00pm,complete,N/A,Flandria,Defensores de Belgrano,Julio César Barraza,1,0.00,0.00,0.89,1.65,1,1,2,2,1,1,"24","30",4,1,0,0,1,0,0,0,0,1,7,6,5,5,2,1,-1,-1,46,54,1.41,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.57,2.81,3.03,1.67,2.99,6.25,14.00,2.40,1.52,Estadio Carlos V (Luján- Provincia de Buenos Aires)
1644696000,Feb 12 2022 - 8:00pm,complete,N/A,Villa Dálmine,Guillermo Brown,Fabricio Llobet,1,0.00,0.00,1.39,0.72,1,2,3,1,1,0,"39","71,90",5,6,3,1,3,0,1,3,1,2,5,10,2,4,3,6,-1,-1,44,56,0.74,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.59,2.71,3.25,1.54,3.21,6.25,10.50,2.46,1.53,Estadio El Coliseo de Mitre y Puccini (Campana- Provincia de Buenos Aires)
1644704100,Feb 12 2022 - 10:15pm,complete,N/A,Temperley,San Martín Tucumán,José Carreras,1,0.00,0.00,1.39,1.39,1,2,3,2,0,2,"89","16,25",7,5,1,0,0,0,0,1,0,0,8,13,3,7,5,6,-1,-1,52,48,1.27,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,2.76,2.30,1.52,2.65,4.98,9.10,2.15,1.62,Estadio Alfredo Martín Beranger (Temperley- Provincia de Buenos Aires)
1644706800,Feb 12 2022 - 11:00pm,complete,N/A,Alvarado,Sacachispas,César Ceballos,1,0.00,0.00,1.33,0.72,1,1,2,0,0,0,"83","68",7,4,1,0,4,0,0,1,1,3,18,9,5,2,13,7,-1,-1,67,33,1.98,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.05,4.60,1.46,2.38,4.35,9.00,2.05,1.71,Estadio José María Minella (Mar del Plata- Provincia de Buenos Aires)
1644710400,Feb 13 2022 - 12:00am,complete,N/A,Gimnasia Jujuy,Brown de Adrogué,Lucas Novelli Sanz,1,0.00,0.00,1.83,1.17,3,3,6,2,1,1,"15,61,87","29,68,90",4,2,3,0,1,0,1,2,1,0,10,9,6,6,4,3,-1,-1,51,49,1.49,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.56,2.70,3.31,1.53,2.73,5.20,9.35,2.35,1.52,Estadio 23 de Agosto (San Salvador de Jujuy- Provincia de Jujuy)
1644711300,Feb 13 2022 - 12:15am,complete,N/A,All Boys,Atlanta,Sebastían Zunino,1,0.00,0.00,2.11,1.06,1,0,1,0,0,0,"87","",2,2,4,0,4,1,1,3,2,3,5,0,2,0,3,0,-1,-1,53,47,0.60,0.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,2.73,3.62,1.54,2.73,5.50,9.75,2.30,1.55,Estadio Islas Malvinas (Capital Federal- Ciudad de Buenos Aires)
1644712200,Feb 13 2022 - 12:30am,complete,N/A,Almirante Brown,Chacarita Juniors,N/A,1,0.00,0.00,1.61,1.17,4,2,6,2,1,1,"8,67,74,83","42,53",2,4,4,0,4,0,1,3,1,3,14,9,7,5,7,4,-1,-1,53,47,1.85,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.56,5.48,1.42,2.16,4.20,7.80,2.10,1.65,Estadio Fragata Presidente Sarmiento (La Matanza- Provincia de Buenos Aires)
1644782400,Feb 13 2022 - 8:00pm,complete,N/A,Deportivo Maipú,Independiente Rivadavia,Luis Lobo Medina,1,0.00,0.00,1.67,0.95,1,1,2,2,1,1,"32","24",6,5,1,0,3,0,0,1,1,2,9,10,4,5,5,5,-1,-1,60,40,1.52,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,2.80,2.80,1.46,2.45,4.70,8.40,2.00,1.73,Estadio Omar Higinio Sperdutti (Maipú- Provincia de Mendoza)
1644784200,Feb 13 2022 - 8:30pm,complete,N/A,Gimnasia Mendoza,San Martín San Juan,Pablo Giménez,1,0.00,0.00,2.05,0.61,0,1,1,1,0,1,"","40",9,4,1,0,1,0,0,1,0,1,12,4,6,4,6,0,-1,-1,59,41,1.61,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,2.80,3.50,4.62,2.45,4.50,8.20,2.00,1.73,Estadio Víctor Antonio Legrotaglie (Mendoza- Provincia de Mendoza)
