HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Bourg-en-Bresse,Villefranche,1,1,1,0
Sète,Bastia-Borgo,2,0,0,0
Laval,Orléans,1,2,1,1
Créteil,Avranches,0,0,0,0
Châteauroux,Cholet,2,0,0,0
Sedan,Annecy,1,1,1,0
Le Mans,Stade Briochin,1,0,0,0
Boulogne,Chambly,1,1,1,0
Concarneau,Red Star,2,0,0,0
Annecy,Laval,1,0,0,0
Bastia-Borgo,Bourg-en-Bresse,2,2,1,1
Red Star,Boulogne,1,3,1,1
Cholet,Sète,3,1,1,1
Stade Briochin,Chambly,0,1,0,0
Orléans,Concarneau,0,0,0,0
Le Mans,Créteil,2,1,1,1
Avranches,Châteauroux,3,1,1,1
Villefranche,Sedan,1,0,0,0
Bourg-en-Bresse,Cholet,4,0,0,1
Sète,Avranches,1,2,1,1
Laval,Villefranche,0,0,0,0
Créteil,Stade Briochin,0,0,0,0
Sedan,Bastia-Borgo,1,0,0,0
Chambly,Red Star,1,2,1,1
Boulogne,Orléans,1,1,1,0
Concarneau,Annecy,2,1,1,1
Châteauroux,Le Mans,2,1,1,1
Annecy,Boulogne,2,0,0,0
Bastia-Borgo,Laval,2,2,1,1
Cholet,Sedan,1,1,1,0
Stade Briochin,Red Star,2,1,1,1
Créteil,Châteauroux,1,1,1,0
Orléans,Chambly,0,1,0,0
Villefranche,Concarneau,1,1,1,0
Avranches,Bourg-en-Bresse,0,3,0,1
Le Mans,Sète,3,0,0,1
Bourg-en-Bresse,Le Mans,1,1,1,0
Sète,Créteil,3,1,1,1
Laval,Cholet,2,1,1,1
Châteauroux,Stade Briochin,0,0,0,0
Sedan,Avranches,2,0,0,0
Chambly,Annecy,0,1,0,0
Boulogne,Villefranche,0,1,0,0
Concarneau,Bastia-Borgo,2,1,1,1
Red Star,Orléans,1,0,0,0
Annecy,Red Star,6,0,0,1
Bastia-Borgo,Boulogne,0,3,0,1
Cholet,Concarneau,4,2,1,1
Stade Briochin,Orléans,2,1,1,1
Créteil,Bourg-en-Bresse,1,6,1,1
Châteauroux,Sète,1,0,0,0
Villefranche,Chambly,3,0,0,1
Avranches,Laval,0,1,0,0
Le Mans,Sedan,0,2,0,0
Bourg-en-Bresse,Châteauroux,1,0,0,0
Red Star,Villefranche,0,1,0,0
Sète,Stade Briochin,0,0,0,0
Laval,Le Mans,2,1,1,1
Orléans,Annecy,2,2,1,1
Sedan,Créteil,0,0,0,0
Chambly,Bastia-Borgo,2,2,1,1
Boulogne,Cholet,2,3,1,1
Concarneau,Avranches,1,3,1,1
Bastia-Borgo,Red Star,2,2,1,1
Sète,Bourg-en-Bresse,2,5,1,1
Cholet,Chambly,2,0,0,0
Stade Briochin,Annecy,1,2,1,1
Créteil,Laval,0,1,0,0
Villefranche,Orléans,1,0,0,0
Le Mans,Concarneau,1,1,1,0
Avranches,Boulogne,1,0,0,0
Châteauroux,Sedan,1,1,1,0
Bourg-en-Bresse,Stade Briochin,2,0,0,0
Red Star,Cholet,4,2,1,1
Laval,Châteauroux,1,2,1,1
Orléans,Bastia-Borgo,4,0,0,1
Sedan,Sète,1,0,0,0
Chambly,Avranches,4,2,1,1
Boulogne,Le Mans,0,0,0,0
Concarneau,Créteil,1,0,0,0
Annecy,Villefranche,2,0,0,0
Bastia-Borgo,Annecy,1,2,1,1
Sète,Laval,0,1,0,0
Cholet,Orléans,3,1,1,1
Stade Briochin,Villefranche,0,0,0,0
Créteil,Boulogne,3,2,1,1
Châteauroux,Concarneau,0,2,0,0
Le Mans,Chambly,2,0,0,0
Avranches,Red Star,0,6,0,1
Bourg-en-Bresse,Sedan,0,0,0,0
Annecy,Cholet,3,0,0,1
Laval,Bourg-en-Bresse,1,2,1,1
Orléans,Avranches,0,0,0,0
Sedan,Stade Briochin,2,1,1,1
Chambly,Créteil,4,0,0,1
Villefranche,Bastia-Borgo,1,1,1,0
Boulogne,Châteauroux,1,1,1,0
Concarneau,Sète,2,0,0,0
Red Star,Le Mans,1,2,1,1
Bourg-en-Bresse,Concarneau,0,2,0,0
Sète,Boulogne,4,0,0,1
Cholet,Villefranche,3,4,1,1
Châteauroux,Chambly,2,1,1,1
Avranches,Annecy,2,0,0,0
Stade Briochin,Bastia-Borgo,3,0,0,1
Sedan,Laval,0,1,0,0
Créteil,Red Star,1,0,0,0
Le Mans,Orléans,0,0,0,0
Annecy,Le Mans,1,1,1,0
Bastia-Borgo,Cholet,1,2,1,1
Red Star,Châteauroux,0,2,0,0
Laval,Stade Briochin,2,0,0,0
Orléans,Créteil,2,1,1,1
Chambly,Sète,1,4,1,1
Villefranche,Avranches,3,0,0,1
Boulogne,Bourg-en-Bresse,1,2,1,1
Concarneau,Sedan,1,1,1,0
Bourg-en-Bresse,Chambly,3,1,1,1
Sète,Red Star,2,1,1,1
Stade Briochin,Cholet,1,1,1,0
Créteil,Annecy,0,1,0,0
Châteauroux,Orléans,4,1,1,1
Sedan,Boulogne,0,0,0,0
Le Mans,Villefranche,0,2,0,0
Avranches,Bastia-Borgo,3,2,1,1
Laval,Concarneau,0,1,0,0
Bastia-Borgo,Le Mans,1,0,0,0
Red Star,Bourg-en-Bresse,2,1,1,1
