HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Mes Shahr-e Babak,Shahrdari Astara,0,0,0,0
Kheybar Khorramabad,Pars Jam Bushehr,0,0,0,0
Chooka Talesh,Omid Vahdat,0,0,0,0
Shams Azar Qazvin,Khooshe Talaee Saveh,4,0,0,1
Chadormalu SC,Arman Gohar,1,1,1,0
Saipa,Darya Babol,2,0,0,0
Van Pars Isfahan,Fajr Sepasi,0,0,0,0
Khalij Fars,Esteghlal Mollasani,0,2,0,0
Esteghlal Khuzestan,Shahrdari Hamedan,0,0,0,0
Arman Gohar,Chooka Talesh,2,1,1,1
Omid Vahdat,Khalij Fars,0,0,0,0
Fajr Sepasi,Kheybar Khorramabad,1,1,1,0
Darya Babol,Shams Azar Qazvin,1,2,1,1
Shahrdari Hamedan,Van Pars Isfahan,1,0,0,0
Khooshe Talaee Saveh,Chadormalu SC,1,1,1,0
Shahrdari Astara,Saipa,0,1,0,0
Pars Jam Bushehr,Mes Shahr-e Babak,2,1,1,1
Esteghlal Mollasani,Esteghlal Khuzestan,3,3,1,1
Omid Vahdat,Arman Gohar,0,0,0,0
Mes Shahr-e Babak,Shahrdari Hamedan,1,0,0,0
Chadormalu SC,Shahrdari Astara,1,0,0,0
Saipa,Kheybar Khorramabad,0,1,0,0
Van Pars Isfahan,Darya Babol,1,0,0,0
Shams Azar Qazvin,Pars Jam Bushehr,5,0,0,1
Chooka Talesh,Esteghlal Mollasani,1,2,1,1
Esteghlal Khuzestan,Fajr Sepasi,0,0,0,0
Khalij Fars,Khooshe Talaee Saveh,0,0,0,0
Darya Babol,Esteghlal Khuzestan,0,1,0,0
Fajr Sepasi,Chadormalu SC,2,0,0,0
Shahrdari Hamedan,Omid Vahdat,0,0,0,0
Khooshe Talaee Saveh,Chooka Talesh,1,0,0,0
Shahrdari Astara,Van Pars Isfahan,1,0,0,0
Kheybar Khorramabad,Mes Shahr-e Babak,0,0,0,0
Pars Jam Bushehr,Saipa,1,1,1,0
Esteghlal Mollasani,Shams Azar Qazvin,0,0,0,0
Arman Gohar,Khalij Fars,1,1,1,0
Omid Vahdat,Darya Babol,0,0,0,0
Chadormalu SC,Esteghlal Mollasani,0,1,0,0
Arman Gohar,Khooshe Talaee Saveh,1,3,1,1
Van Pars Isfahan,Kheybar Khorramabad,0,1,0,0
Saipa,Fajr Sepasi,0,1,0,0
Shams Azar Qazvin,Shahrdari Hamedan,2,1,1,1
Chooka Talesh,Pars Jam Bushehr,0,0,0,0
Khalij Fars,Shahrdari Astara,1,1,1,0
Esteghlal Khuzestan,Mes Shahr-e Babak,0,0,0,0
Mes Shahr-e Babak,Saipa,0,0,0,0
Darya Babol,Chadormalu SC,1,1,1,0
Khooshe Talaee Saveh,Omid Vahdat,0,0,0,0
Fajr Sepasi,Shams Azar Qazvin,1,0,0,0
Shahrdari Astara,Chooka Talesh,1,1,1,0
Shahrdari Hamedan,Khalij Fars,1,0,0,0
Kheybar Khorramabad,Esteghlal Khuzestan,1,1,1,0
Pars Jam Bushehr,Van Pars Isfahan,2,1,1,1
Esteghlal Mollasani,Arman Gohar,1,1,1,0
Omid Vahdat,Esteghlal Mollasani,0,0,0,0
Arman Gohar,Fajr Sepasi,1,1,1,0
Chadormalu SC,Shahrdari Hamedan,1,1,1,0
Khooshe Talaee Saveh,Darya Babol,0,1,0,0
Van Pars Isfahan,Mes Shahr-e Babak,0,0,0,0
Shams Azar Qazvin,Shahrdari Astara,3,1,1,1
Chooka Talesh,Kheybar Khorramabad,1,1,1,0
Khalij Fars,Pars Jam Bushehr,1,2,1,1
Esteghlal Khuzestan,Saipa,0,0,0,0
Mes Shahr-e Babak,Shams Azar Qazvin,1,1,1,0
Fajr Sepasi,Omid Vahdat,0,0,0,0
Darya Babol,Khalij Fars,1,0,0,0
Saipa,Van Pars Isfahan,1,0,0,0
Pars Jam Bushehr,Arman Gohar,0,1,0,0
Esteghlal Mollasani,Khooshe Talaee Saveh,1,1,1,0
Shahrdari Astara,Esteghlal Khuzestan,0,0,0,0
Kheybar Khorramabad,Chadormalu SC,0,0,0,0
Shahrdari Hamedan,Chooka Talesh,3,0,0,1
Omid Vahdat,Mes Shahr-e Babak,0,0,0,0
Khooshe Talaee Saveh,Shahrdari Hamedan,0,0,0,0
Chadormalu SC,Van Pars Isfahan,2,0,0,0
Shams Azar Qazvin,Saipa,4,0,0,1
Chooka Talesh,Fajr Sepasi,1,2,1,1
Khalij Fars,Kheybar Khorramabad,0,3,0,1
Esteghlal Mollasani,Darya Babol,2,0,0,0
Arman Gohar,Shahrdari Astara,1,0,0,0
Esteghlal Khuzestan,Pars Jam Bushehr,3,1,1,1
Darya Babol,Arman Gohar,0,0,0,0
Fajr Sepasi,Khalij Fars,3,0,0,1
Mes Shahr-e Babak,Chooka Talesh,2,1,1,1
Shahrdari Hamedan,Esteghlal Mollasani,0,0,0,0
Saipa,Chadormalu SC,1,0,0,0
Van Pars Isfahan,Esteghlal Khuzestan,3,3,1,1
Kheybar Khorramabad,Shams Azar Qazvin,3,1,1,1
Pars Jam Bushehr,Khooshe Talaee Saveh,1,0,0,0
Omid Vahdat,Kheybar Khorramabad,0,0,0,0
Darya Babol,Shahrdari Hamedan,0,0,0,0
Arman Gohar,Mes Shahr-e Babak,2,3,1,1
Chadormalu SC,Pars Jam Bushehr,0,2,0,0
Khooshe Talaee Saveh,Shahrdari Astara,2,0,0,0
Shams Azar Qazvin,Esteghlal Khuzestan,2,1,1,1
Chooka Talesh,Saipa,0,0,0,0
Khalij Fars,Van Pars Isfahan,0,1,0,0
Esteghlal Mollasani,Fajr Sepasi,1,1,1,0
Fajr Sepasi,Khooshe Talaee Saveh,1,2,1,1
Mes Shahr-e Babak,Chadormalu SC,2,0,0,0
Van Pars Isfahan,Shams Azar Qazvin,2,2,1,1
Saipa,Khalij Fars,3,1,1,1
Shahrdari Astara,Darya Babol,0,0,0,0
Shahrdari Hamedan,Arman Gohar,1,0,0,0
Kheybar Khorramabad,Esteghlal Mollasani,4,0,0,1
Pars Jam Bushehr,Omid Vahdat,0,0,0,0
Esteghlal Khuzestan,Chooka Talesh,6,0,0,1
Omid Vahdat,Saipa,0,0,0,0
Arman Gohar,Kheybar Khorramabad,1,1,1,0
Chadormalu SC,Shams Azar Qazvin,0,2,0,0
Khooshe Talaee Saveh,Mes Shahr-e Babak,0,0,0,0
Darya Babol,Fajr Sepasi,3,0,0,1
Chooka Talesh,Van Pars Isfahan,1,2,1,1
Shahrdari Hamedan,Shahrdari Astara,0,0,0,0
Khalij Fars,Esteghlal Khuzestan,1,0,0,0
Esteghlal Mollasani,Pars Jam Bushehr,0,0,0,0
Mes Shahr-e Babak,Khalij Fars,1,0,0,0
Fajr Sepasi,Shahrdari Hamedan,1,0,0,0
Saipa,Arman Gohar,2,1,1,1
Van Pars Isfahan,Omid Vahdat,0,0,0,0
Shams Azar Qazvin,Chooka Talesh,4,1,1,1
Shahrdari Astara,Esteghlal Mollasani,1,0,0,0
Pars Jam Bushehr,Darya Babol,1,0,0,0
Esteghlal Khuzestan,Chadormalu SC,0,0,0,0
Kheybar Khorramabad,Khooshe Talaee Saveh,0,0,0,0
Shahrdari Astara,Omid Vahdat,0,0,0,0
Darya Babol,Kheybar Khorramabad,0,0,0,0
Khooshe Talaee Saveh,Saipa,0,1,0,0
Fajr Sepasi,Shahrdari Astara,0,0,0,0
Chooka Talesh,Chadormalu SC,1,2,1,1
Arman Gohar,Van Pars Isfahan,1,1,1,0
Shahrdari Hamedan,Pars Jam Bushehr,0,1,0,0
Esteghlal Mollasani,Mes Shahr-e Babak,0,0,0,0
Khalij Fars,Shams Azar Qazvin,0,0,0,0
Omid Vahdat,Esteghlal Khuzestan,0,0,0,0
Kheybar Khorramabad,Shahrdari Astara,0,0,0,0
Shams Azar Qazvin,Arman Gohar,3,1,1,1
Esteghlal Khuzestan,Khooshe Talaee Saveh,2,0,0,0
Chooka Talesh,Khalij Fars,0,0,0,0
Van Pars Isfahan,Esteghlal Mollasani,2,0,0,0
Mes Shahr-e Babak,Darya Babol,0,0,0,0
Saipa,Shahrdari Hamedan,1,0,0,0
Pars Jam Bushehr,Fajr Sepasi,0,0,0,0
Shahrdari Astara,Pars Jam Bushehr,1,0,0,0
Khooshe Talaee Saveh,Van Pars Isfahan,0,1,0,0
Shahrdari Hamedan,Kheybar Khorramabad,2,0,0,0
Khalij Fars,Chadormalu SC,0,1,0,0
Esteghlal Mollasani,Saipa,0,0,0,0
Fajr Sepasi,Mes Shahr-e Babak,1,1,1,0
Darya Babol,Chooka Talesh,0,0,0,0
Arman Gohar,Esteghlal Khuzestan,0,2,0,0
Pars Jam Bushehr,Kheybar Khorramabad,0,0,0,0
Shahrdari Astara,Mes Shahr-e Babak,0,0,0,0
Khooshe Talaee Saveh,Shams Azar Qazvin,0,3,0,1
Darya Babol,Saipa,1,0,0,0
Arman Gohar,Chadormalu SC,1,2,1,1
Esteghlal Mollasani,Khalij Fars,1,1,1,0
Fajr Sepasi,Van Pars Isfahan,1,0,0,0
Shahrdari Hamedan,Esteghlal Khuzestan,0,1,0,0
Van Pars Isfahan,Shahrdari Hamedan,3,0,0,1
Chooka Talesh,Arman Gohar,2,0,0,0
Shams Azar Qazvin,Darya Babol,1,1,1,0
Kheybar Khorramabad,Fajr Sepasi,1,0,0,0
Saipa,Shahrdari Astara,1,1,1,0
Chadormalu SC,Khooshe Talaee Saveh,4,2,1,1
Mes Shahr-e Babak,Pars Jam Bushehr,0,0,0,0
Esteghlal Khuzestan,Esteghlal Mollasani,1,1,1,0
Shahrdari Hamedan,Mes Shahr-e Babak,1,0,0,0
Shahrdari Astara,Chadormalu SC,0,2,0,0
Kheybar Khorramabad,Saipa,0,0,0,0
Darya Babol,Van Pars Isfahan,1,1,1,0
Pars Jam Bushehr,Shams Azar Qazvin,0,1,0,0
Esteghlal Mollasani,Chooka Talesh,3,3,1,1
Fajr Sepasi,Esteghlal Khuzestan,1,1,1,0
Khooshe Talaee Saveh,Khalij Fars,1,0,0,0
Chadormalu SC,Fajr Sepasi,2,1,1,1
Chooka Talesh,Khooshe Talaee Saveh,2,0,0,0
Mes Shahr-e Babak,Kheybar Khorramabad,0,1,0,0
Van Pars Isfahan,Shahrdari Astara,2,0,0,0
Saipa,Pars Jam Bushehr,3,1,1,1
Shams Azar Qazvin,Esteghlal Mollasani,0,0,0,0
Khalij Fars,Arman Gohar,2,1,1,1
Esteghlal Khuzestan,Darya Babol,1,0,0,0
Mes Shahr-e Babak,Esteghlal Khuzestan,1,1,1,0
