HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Honda,TIAMO Hirakata,2,0,0,0
Verspah Oita,Sony Sendai,1,0,0,0
Suzuka Point Getters,Reinmeer Aomori,2,0,0,0
Osaka,Criacao Shinjuku,3,1,1,1
Veertien Mie,Honda Lock,3,1,1,1
Biwako Shiga,Nara Club,0,1,0,0
Kochi United,Tokyo Musashino City,1,1,1,0
Sony Sendai,Veertien Mie,0,3,0,1
Nara Club,Honda,0,0,0,0
Criacao Shinjuku,Matsue City,0,1,0,0
Biwako Shiga,Reinmeer Aomori,1,2,1,1
Maruyasu Okazaki,Suzuka Point Getters,4,2,1,1
Tokyo Musashino City,Osaka,3,1,1,1
Honda Lock,Kochi United,0,1,0,0
TIAMO Hirakata,Verspah Oita,3,0,0,1
Osaka,Honda Lock,0,0,0,0
Verspah Oita,Honda,1,1,1,0
Matsue City,Tokyo Musashino City,0,2,0,0
Nara Club,Reinmeer Aomori,0,0,0,0
Veertien Mie,TIAMO Hirakata,2,1,1,1
Biwako Shiga,Maruyasu Okazaki,0,3,0,1
Kochi United,Sony Sendai,0,0,0,0
Honda,Veertien Mie,2,1,1,1
Verspah Oita,Nara Club,2,3,1,1
Sony Sendai,Osaka,0,2,0,0
TIAMO Hirakata,Kochi United,1,1,1,0
Maruyasu Okazaki,Reinmeer Aomori,1,0,0,0
Tokyo Musashino City,Suzuka Point Getters,0,1,0,0
Honda Lock,Matsue City,5,1,1,1
Criacao Shinjuku,Biwako Shiga,0,1,0,0
Osaka,TIAMO Hirakata,3,3,1,1
Nara Club,Maruyasu Okazaki,0,1,0,0
Biwako Shiga,Tokyo Musashino City,0,1,0,0
Suzuka Point Getters,Honda Lock,0,0,0,0
Matsue City,Sony Sendai,0,2,0,0
Veertien Mie,Verspah Oita,0,1,0,0
Kochi United,Honda,0,2,0,0
Honda,Osaka,1,2,1,1
Verspah Oita,Kochi United,0,1,0,0
Tokyo Musashino City,Reinmeer Aomori,0,1,0,0
Criacao Shinjuku,Maruyasu Okazaki,0,1,0,0
TIAMO Hirakata,Matsue City,1,0,0,0
Sony Sendai,Suzuka Point Getters,2,1,1,1
Veertien Mie,Nara Club,3,3,1,1
Suzuka Point Getters,TIAMO Hirakata,3,2,1,1
Matsue City,Honda,0,0,0,0
Osaka,Verspah Oita,1,1,1,0
Reinmeer Aomori,Honda Lock,1,2,1,1
Nara Club,Criacao Shinjuku,2,2,1,1
Biwako Shiga,Sony Sendai,1,1,1,0
Maruyasu Okazaki,Tokyo Musashino City,1,0,0,0
Matsue City,Maruyasu Okazaki,0,0,0,0
Reinmeer Aomori,Criacao Shinjuku,2,0,0,0
Honda Lock,Biwako Shiga,6,0,0,1
Kochi United,Veertien Mie,1,1,1,0
Tokyo Musashino City,Criacao Shinjuku,3,0,0,1
Honda Lock,Maruyasu Okazaki,2,0,0,0
Suzuka Point Getters,Honda,1,4,1,1
Verspah Oita,Matsue City,1,0,0,0
Sony Sendai,Reinmeer Aomori,0,3,0,1
TIAMO Hirakata,Biwako Shiga,4,1,1,1
Kochi United,Nara Club,0,1,0,0
Veertien Mie,Osaka,1,1,1,0
Matsue City,Veertien Mie,0,1,0,0
Osaka,Kochi United,3,2,1,1
Criacao Shinjuku,Honda Lock,1,3,1,1
Suzuka Point Getters,Verspah Oita,0,2,0,0
Reinmeer Aomori,TIAMO Hirakata,2,1,1,1
Nara Club,Tokyo Musashino City,0,2,0,0
Biwako Shiga,Honda,1,0,0,0
Sony Sendai,Criacao Shinjuku,2,3,1,1
Osaka,Nara Club,0,0,0,0
TIAMO Hirakata,Maruyasu Okazaki,0,0,0,0
Honda,Reinmeer Aomori,0,0,0,0
Verspah Oita,Biwako Shiga,1,2,1,1
Veertien Mie,Suzuka Point Getters,4,1,1,1
Kochi United,Matsue City,1,0,0,0
Honda Lock,Tokyo Musashino City,0,1,0,0
Tokyo Musashino City,Sony Sendai,1,1,1,0
Reinmeer Aomori,Verspah Oita,2,3,1,1
Suzuka Point Getters,Kochi United,1,0,0,0
Matsue City,Osaka,3,1,1,1
Maruyasu Okazaki,Honda,1,2,1,1
Criacao Shinjuku,TIAMO Hirakata,4,2,1,1
Biwako Shiga,Veertien Mie,2,1,1,1
Nara Club,Honda Lock,1,0,0,0
Suzuka Point Getters,Criacao Shinjuku,2,0,0,0
Honda,Criacao Shinjuku,1,2,1,1
Sony Sendai,Honda Lock,0,0,0,0
TIAMO Hirakata,Tokyo Musashino City,0,2,0,0
Verspah Oita,Maruyasu Okazaki,1,0,0,0
Matsue City,Nara Club,0,1,0,0
Osaka,Suzuka Point Getters,1,0,0,0
Veertien Mie,Reinmeer Aomori,1,1,1,0
Kochi United,Biwako Shiga,1,1,1,0
Reinmeer Aomori,Kochi United,0,0,0,0
Honda Lock,TIAMO Hirakata,0,1,0,0
Tokyo Musashino City,Honda,0,3,0,1
Biwako Shiga,Osaka,0,4,0,1
Maruyasu Okazaki,Veertien Mie,1,2,1,1
Suzuka Point Getters,Matsue City,0,0,0,0
Nara Club,Sony Sendai,0,0,0,0
Criacao Shinjuku,Verspah Oita,2,2,1,1
Verspah Oita,Tokyo Musashino City,2,1,1,1
Osaka,Reinmeer Aomori,0,0,0,0
TIAMO Hirakata,Sony Sendai,2,3,1,1
Suzuka Point Getters,Nara Club,0,4,0,1
Honda,Honda Lock,3,1,1,1
Matsue City,Biwako Shiga,2,2,1,1
Veertien Mie,Criacao Shinjuku,0,0,0,0
Kochi United,Maruyasu Okazaki,3,5,1,1
Sony Sendai,Honda,0,2,0,0
Criacao Shinjuku,Kochi United,0,1,0,0
Biwako Shiga,Suzuka Point Getters,0,2,0,0
Reinmeer Aomori,Matsue City,0,0,0,0
Maruyasu Okazaki,Osaka,2,1,1,1
Tokyo Musashino City,Veertien Mie,1,1,1,0
Maruyasu Okazaki,Sony Sendai,1,2,1,1
Reinmeer Aomori,Suzuka Point Getters,0,2,0,0
Honda Lock,Veertien Mie,0,1,0,0
Tokyo Musashino City,Kochi United,1,3,1,1
Nara Club,Biwako Shiga,2,0,0,0
TIAMO Hirakata,Honda,1,2,1,1
Criacao Shinjuku,Osaka,1,2,1,1
Maruyasu Okazaki,Matsue City,1,2,1,1
Verspah Oita,TIAMO Hirakata,0,0,0,0
Honda,Nara Club,1,1,1,0
Osaka,Tokyo Musashino City,2,1,1,1
Reinmeer Aomori,Biwako Shiga,2,0,0,0
Kochi United,Honda Lock,3,0,0,1
Matsue City,Criacao Shinjuku,2,1,1,1
Veertien Mie,Sony Sendai,1,1,1,0
Suzuka Point Getters,Maruyasu Okazaki,0,0,0,0
Osaka,Veertien Mie,1,0,0,0
Reinmeer Aomori,Sony Sendai,2,2,1,1
Matsue City,Verspah Oita,1,0,0,0
Nara Club,Kochi United,2,0,0,0
Biwako Shiga,TIAMO Hirakata,0,1,0,0
Criacao Shinjuku,Tokyo Musashino City,2,4,1,1
Honda Lock,Verspah Oita,0,3,0,1
Nara Club,TIAMO Hirakata,3,1,1,1
Sony Sendai,Maruyasu Okazaki,0,0,0,0
Honda Lock,Criacao Shinjuku,2,0,0,0
Honda,Biwako Shiga,1,0,0,0
Verspah Oita,Suzuka Point Getters,0,1,0,0
TIAMO Hirakata,Reinmeer Aomori,0,1,0,0
Veertien Mie,Matsue City,0,1,0,0
Kochi United,Osaka,1,2,1,1
Tokyo Musashino City,Nara Club,1,1,1,0
Sony Sendai,Verspah Oita,0,1,0,0
Maruyasu Okazaki,Honda Lock,2,1,1,1
Tokyo Musashino City,Honda Lock,2,0,0,0
Biwako Shiga,Verspah Oita,0,3,0,1
Suzuka Point Getters,Veertien Mie,2,0,0,0
Matsue City,Kochi United,1,2,1,1
Maruyasu Okazaki,TIAMO Hirakata,4,1,1,1
Criacao Shinjuku,Sony Sendai,1,1,1,0
Honda Lock,Nara Club,1,2,1,1
Verspah Oita,Reinmeer Aomori,0,1,0,0
Osaka,Matsue City,2,1,1,1
Kochi United,Suzuka Point Getters,2,0,0,0
TIAMO Hirakata,Criacao Shinjuku,2,0,0,0
Sony Sendai,Tokyo Musashino City,1,1,1,0
Veertien Mie,Biwako Shiga,1,0,0,0
Honda,Maruyasu Okazaki,3,1,1,1
Honda,Suzuka Point Getters,2,0,0,0
Honda Lock,Suzuka Point Getters,1,0,0,0
Sony Sendai,Matsue City,0,3,0,1
Maruyasu Okazaki,Nara Club,2,2,1,1
Honda,Kochi United,2,0,0,0
TIAMO Hirakata,Osaka,1,2,1,1
Criacao Shinjuku,Reinmeer Aomori,0,1,0,0
Tokyo Musashino City,Biwako Shiga,4,1,1,1
Kochi United,TIAMO Hirakata,2,1,1,1
Osaka,Sony Sendai,2,0,0,0
Nara Club,Verspah Oita,1,3,1,1
Matsue City,Honda Lock,1,1,1,0
Reinmeer Aomori,Maruyasu Okazaki,0,0,0,0
Veertien Mie,Honda,1,1,1,0
Biwako Shiga,Criacao Shinjuku,1,2,1,1
Suzuka Point Getters,Tokyo Musashino City,1,1,1,0
Nara Club,Osaka,5,0,0,1
Reinmeer Aomori,Honda,1,0,0,0
Tokyo Musashino City,Matsue City,4,2,1,1
Honda Lock,Osaka,1,0,0,0
Maruyasu Okazaki,Biwako Shiga,5,1,1,1
TIAMO Hirakata,Veertien Mie,2,1,1,1
Honda,Verspah Oita,4,2,1,1
Sony Sendai,Kochi United,1,1,1,0
Reinmeer Aomori,Nara Club,1,2,1,1
Criacao Shinjuku,Suzuka Point Getters,0,1,0,0
Honda,Sony Sendai,2,0,0,0
Suzuka Point Getters,Biwako Shiga,3,2,1,1
Verspah Oita,Honda Lock,0,2,0,0
Matsue City,Reinmeer Aomori,2,2,1,1
Osaka,Maruyasu Okazaki,3,2,1,1
TIAMO Hirakata,Nara Club,1,2,1,1
Veertien Mie,Tokyo Musashino City,1,0,0,0
Kochi United,Criacao Shinjuku,0,1,0,0
Verspah Oita,Veertien Mie,0,7,0,1
Sony Sendai,TIAMO Hirakata,1,2,1,1
Biwako Shiga,Matsue City,1,2,1,1
Tokyo Musashino City,Verspah Oita,4,2,1,1
Criacao Shinjuku,Veertien Mie,2,1,1,1
Reinmeer Aomori,Osaka,0,1,0,0
Nara Club,Suzuka Point Getters,1,1,1,0
Maruyasu Okazaki,Kochi United,3,0,0,1
Honda Lock,Honda,1,1,1,0
Honda,Matsue City,3,0,0,1
Tokyo Musashino City,Maruyasu Okazaki,2,3,1,1
Criacao Shinjuku,Nara Club,1,4,1,1
Verspah Oita,Osaka,2,2,1,1
Sony Sendai,Biwako Shiga,0,0,0,0
TIAMO Hirakata,Suzuka Point Getters,1,3,1,1
Veertien Mie,Kochi United,3,1,1,1
Honda Lock,Reinmeer Aomori,0,1,0,0
Osaka,Honda,2,0,0,0
Nara Club,Veertien Mie,1,0,0,0
Biwako Shiga,Honda Lock,1,1,1,0
Suzuka Point Getters,Sony Sendai,0,2,0,0
Reinmeer Aomori,Tokyo Musashino City,2,1,1,1
Matsue City,TIAMO Hirakata,2,2,1,1
Maruyasu Okazaki,Criacao Shinjuku,2,1,1,1
Kochi United,Verspah Oita,2,3,1,1
Suzuka Point Getters,Osaka,1,2,1,1
Biwako Shiga,Kochi United,1,0,0,0
Criacao Shinjuku,Honda,0,0,0,0
Reinmeer Aomori,Veertien Mie,0,0,0,0
Nara Club,Matsue City,0,0,0,0
Maruyasu Okazaki,Verspah Oita,0,0,0,0
Tokyo Musashino City,TIAMO Hirakata,0,0,0,0
Honda Lock,Sony Sendai,0,0,0,0
Honda,Tokyo Musashino City,0,0,0,0
Verspah Oita,Criacao Shinjuku,0,0,0,0
Matsue City,Suzuka Point Getters,0,0,0,0
Sony Sendai,Nara Club,0,0,0,0
Osaka,Biwako Shiga,0,0,0,0
TIAMO Hirakata,Honda Lock,0,0,0,0
Veertien Mie,Maruyasu Okazaki,0,0,0,0
Kochi United,Reinmeer Aomori,0,0,0,0
