HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Banbury United,Spennymoor Town,0,3,0,1
Bishop's Stortford,Chester,2,0,0,0
Blyth Spartans,Gloucester City,4,2,1,1
Buxton,Boston United,1,1,1,0
Chorley,Brackley Town,1,1,1,0
Darlington,Curzon Ashton,1,3,1,1
King's Lynn Town,Hereford,2,2,1,1
Peterborough Sports,Scarborough Athletic,1,0,0,0
Rushall Olympic,Farsley Celtic,0,2,0,0
South Shields FC,Alfreton Town,3,1,1,1
Southport,Warrington Town,0,4,0,1
Tamworth,Scunthorpe United,1,2,1,1
Chelmsford City,Farnborough,1,0,0,0
Chippenham Town,Aveley,1,0,0,0
Dartford,Bath City,3,3,1,1
Dover Athletic,Torquay United,2,2,1,1
Eastbourne Borough,Hampton & Richmond,1,0,0,0
Hemel Hempstead Town,Yeovil Town,1,0,0,0
Maidstone United,Slough Town,2,1,1,1
St Albans City,Weymouth,2,1,1,1
Taunton Town,Braintree Town,2,1,1,1
Truro City,Welling United,5,2,1,1
Weston-super-Mare,Havant & Waterlooville,1,0,0,0
Worthing,Tonbridge Angels,1,0,0,0
Alfreton Town,Southport,3,1,1,1
Boston United,South Shields FC,3,1,1,1
Brackley Town,Buxton,2,1,1,1
Chester,King's Lynn Town,3,0,0,1
Curzon Ashton,Rushall Olympic,1,1,1,0
Farsley Celtic,Chorley,1,1,1,0
Gloucester City,Bishop's Stortford,1,1,1,0
Hereford,Darlington,1,0,0,0
Scarborough Athletic,Banbury United,3,0,0,1
Scunthorpe United,Peterborough Sports,1,1,1,0
Spennymoor Town,Tamworth,1,4,1,1
Warrington Town,Blyth Spartans,0,2,0,0
Aveley,Taunton Town,4,1,1,1
Bath City,Maidstone United,3,0,0,1
Braintree Town,Truro City,3,2,1,1
Farnborough,Eastbourne Borough,1,1,1,0
Havant & Waterlooville,Chippenham Town,2,4,1,1
Slough Town,Dover Athletic,1,2,1,1
Tonbridge Angels,Weston-super-Mare,0,1,0,0
Torquay United,Worthing,0,3,0,1
Welling United,Hemel Hempstead Town,0,1,0,0
Weymouth,Dartford,1,0,0,0
Yeovil Town,St Albans City,2,1,1,1
Chelmsford City,Hampton & Richmond,1,1,1,0
Aveley,Eastbourne Borough,2,0,0,0
Alfreton Town,Peterborough Sports,2,1,1,1
Boston United,Tamworth,0,2,0,0
Brackley Town,Bishop's Stortford,1,0,0,0
