timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1615582800,Mar 12 2021 - 9:00pm,complete,N/A,San Martín San Juan,Atlético Rafaela,Luis Lobo Medina,1,0.00,0.00,1.35,0.76,4,2,6,4,2,2,"28,35,86,90","33,40",3,5,3,0,4,1,1,2,2,3,10,10,6,6,4,4,-1,-1,57,43,0.00,0.00,1.45,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.80,3.30,1.52,2.69,4.70,9.05,2.11,1.67,Estadio Ingeniero Hilario Sánchez (San Juan- Provincia de San Juan)
1615590600,Mar 12 2021 - 11:10pm,complete,N/A,Nueva Chicago,Club Atlético Mitre,Mariano González,1,0.00,0.00,0.50,0.75,1,2,3,2,1,1,"31","15,55",4,5,2,0,2,0,1,1,1,1,15,7,6,4,9,3,19,18,54,46,0.00,0.00,1.94,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,2.80,3.30,1.66,3.04,6.18,9.80,2.24,1.65,Estadio República de Mataderos (Capital Federal- Ciudad de Buenos Aires)
1615666200,Mar 13 2021 - 8:10pm,complete,N/A,Villa Dálmine,Independiente Rivadavia,Sebastían Zunino,1,0.00,0.00,1.41,1.67,0,0,0,0,0,0,"","",2,2,2,0,5,0,1,1,2,3,12,8,5,3,7,5,8,13,55,45,0.00,0.00,1.51,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.34,2.88,2.98,1.50,2.46,5.00,11.00,2.10,1.67,Estadio El Coliseo de Mitre y Puccini (Campana- Provincia de Buenos Aires)
1615666200,Mar 13 2021 - 8:10pm,complete,N/A,San Telmo,Barracas Central,Diego Ceballos,1,0.00,0.00,1.47,1.32,1,1,2,1,1,0,"12","67",1,6,0,0,2,0,0,0,0,2,14,8,7,5,7,3,15,8,47,53,0.00,0.00,1.82,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.48,2.76,2.91,1.50,2.54,5.00,11.00,2.10,1.67,Estadio Dr. Osvaldo Francisco Baletto (Avellaneda- Provincia de Buenos Aires)
1615666200,Mar 13 2021 - 8:10pm,complete,N/A,Defensores de Belgrano,Instituto,Adrián Franklin,1,0.00,0.00,1.24,1.12,0,0,0,0,0,0,"","",2,2,2,0,2,0,1,1,2,0,8,10,2,3,6,7,13,9,54,46,0.00,0.00,1.27,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,2.88,3.47,1.50,2.54,5.00,11.00,2.10,1.67,Estadio Juan Pasquale (Capital Federal- Ciudad de Buenos Aires)
1615667400,Mar 13 2021 - 8:30pm,complete,N/A,Deportivo Santamarina,Gimnasia Jujuy,Bruno Bocca,1,0.00,0.00,1.18,0.88,2,1,3,1,1,0,"28,86","67",4,3,2,1,3,0,0,3,0,3,5,6,4,3,1,3,18,15,50,50,0.00,0.00,0.95,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,2.87,3.37,1.44,2.41,4.50,11.00,2.10,1.67,Estadio Municipal General San Martín de Tandil (Tandil- Provincia de Buenos Aires)
1615667400,Mar 13 2021 - 8:30pm,complete,N/A,Gimnasia Mendoza,Agropecuario,César Ceballos,1,0.00,0.00,1.00,1.38,2,0,2,1,1,0,"22,78","",3,8,2,0,2,0,0,2,0,2,12,12,6,6,6,6,-1,-1,39,61,0.00,0.00,1.74,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,2.96,3.52,1.44,2.39,4.50,11.00,2.00,1.73,Estadio Víctor Antonio Legrotaglie (Mendoza- Provincia de Mendoza)
1615673400,Mar 13 2021 - 10:10pm,complete,N/A,Almirante Brown,Estudiantes Caseros,Fabricio Llobet,1,0.00,0.00,2.11,0.75,2,1,3,1,1,0,"36,78","83",3,7,2,0,3,0,1,1,2,1,10,9,7,4,3,5,11,12,40,60,0.00,0.00,1.53,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.03,2.93,2.28,1.44,2.46,4.50,11.00,2.10,1.67,Estadio Fragata Presidente Sarmiento (La Matanza- Provincia de Buenos Aires)
1615674600,Mar 13 2021 - 10:30pm,complete,N/A,All Boys,Deportivo Morón,Lucas Comesaña,1,0.00,0.00,1.41,1.11,1,3,4,1,0,1,"68","33,49,90'2",6,6,2,0,2,0,2,0,0,2,5,10,4,6,1,4,11,17,51,49,0.00,0.00,1.12,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.74,2.71,2.66,1.57,2.61,6.00,15.00,2.38,1.53,Estadio Islas Malvinas (Capital Federal- Ciudad de Buenos Aires)
1615680900,Mar 14 2021 - 12:15am,complete,N/A,Belgrano,Tigre,Mario Ejarque,1,0.00,0.00,1.69,1.44,2,1,3,1,1,0,"36,87","70",4,4,2,0,2,0,1,1,1,1,7,14,4,5,3,9,10,12,43,57,0.00,0.00,1.11,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.02,2.97,3.58,1.44,2.44,4.50,11.00,2.10,1.67,Estadio Julio César Villagra (Ciudad de Córdoba- Provincia de Córdoba)
