timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1683064800,May 02 2023 - 10:00pm,complete,N/A,EC São José,Floresta,Leonardo Ferreira Lima,1,0.00,0.00,2.00,0.50,0,0,0,0,0,0,"","",9,2,2,0,2,0,1,1,0,2,12,9,6,2,6,7,-1,-1,62,38,0.00,0.00,1.72,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.25,5.20,1.45,2.31,4.75,9.00,2.25,1.60,Estádio Francisco Novelletto Neto (Porto Alegre- Rio Grande do Sul)
1683064800,May 02 2023 - 10:00pm,complete,N/A,Volta Redonda,Pouso Alegre,Rafael Martins Diniz,1,0.00,0.00,1.50,2.00,0,1,1,1,0,1,"","32",3,3,4,0,7,0,2,2,3,4,13,9,4,4,9,5,-1,-1,58,42,0.00,0.00,1.55,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.25,4.30,1.44,2.50,4.28,7.95,2.15,1.65,Estádio Municipal General Raulino de Oliveira (Volta Redonda- Rio de Janeiro)
1683073800,May 03 2023 - 12:30am,complete,N/A,Manaus,Náutico,Paulo Henrique de Melo Salmazio,1,0.00,0.00,3.00,0.00,2,1,3,1,0,1,"82,90'4","33",8,5,3,0,2,0,1,2,1,1,15,16,5,8,10,8,-1,-1,57,43,0.00,0.00,1.58,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.33,3.05,2.77,1.50,2.45,4.40,8.20,2.00,1.75,Arena da Amazônia (Manaus- Amazonas)
1683151200,May 03 2023 - 10:00pm,complete,N/A,América RN,Ypiranga Erechim,N/A,1,0.00,0.00,0.50,1.50,1,2,3,2,1,1,"36","2,49",10,0,2,0,4,2,1,1,3,3,24,7,9,3,15,4,-1,-1,61,39,0.00,0.00,2.95,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.05,3.60,1.39,2.23,4.15,8.20,1.93,1.74,Arena das Dunas (Natal- Rio Grande do Norte)
1683151200,May 03 2023 - 10:00pm,complete,N/A,Brusque,Amazonas,N/A,1,0.00,0.00,3.00,1.50,1,0,1,1,1,0,"31","",3,8,2,1,3,0,0,3,0,3,12,13,6,3,6,10,-1,-1,40,60,0.00,0.00,1.52,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.20,4.40,1.41,2.19,4.25,8.40,2.04,1.66,Estádio Augusto Bauer (Brusque- Santa Catarina)
1683160200,May 04 2023 - 12:30am,complete,N/A,Paysandu,Aparecidense,Adriano Barros Carneiro,1,0.00,0.00,3.00,0.00,2,1,3,0,0,0,"52,63","50",4,4,4,0,6,0,1,3,2,4,10,14,3,4,7,10,-1,-1,53,47,0.00,0.00,1.14,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.25,4.10,1.40,2.30,4.15,8.20,1.95,1.72,Estádio Leônidas Sodré de Castro (Belém- Pará)
1683234000,May 04 2023 - 9:00pm,complete,N/A,CSA,Confiança,N/A,1,0.00,0.00,0.50,1.50,0,1,1,1,0,1,"","45",15,3,0,0,2,0,0,0,0,2,22,5,9,2,13,3,8,14,73,27,0.00,0.00,2.77,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.30,4.60,1.40,2.27,4.50,9.50,2.20,1.60,Estádio Rei Pelé (Maceió- Alagoas)
1683237600,May 04 2023 - 10:00pm,complete,N/A,Botafogo PB,Operário PR,N/A,1,0.00,0.00,2.00,0.50,2,1,3,2,2,0,"37,45","90'3",9,7,4,0,2,0,3,1,1,1,9,11,5,6,4,5,-1,-1,43,57,0.00,0.00,1.34,1.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.95,2.80,1.50,2.29,0.00,0.00,0.00,0.00,Estádio José Américo de Almeida Filho (João Pessoa- Paraíba)
1683246600,May 05 2023 - 12:30am,complete,N/A,São Bernardo,Remo,Rafael Carlos Salgueiro,1,0.00,0.00,3.00,0.00,3,1,4,1,1,0,"5,53,83","90'2",6,11,2,0,1,0,1,1,1,0,17,12,8,2,9,10,-1,-1,36,64,0.00,0.00,2.06,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.10,3.40,1.40,2.21,4.50,9.50,2.05,1.68,Estádio Primeiro de Maio (São Bernardo do Campo- São Paulo)
1683246600,May 05 2023 - 12:30am,complete,N/A,Altos,Figueirense,Ivan da Silva Guimarães Junior,1,0.00,0.00,2.00,0.50,0,0,0,0,0,0,"","",3,5,2,0,2,0,0,2,1,1,13,4,2,3,11,1,-1,-1,50,50,0.00,0.00,1.81,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,2.90,2.50,1.45,2.40,4.37,8.15,2.00,1.72,Estádio Municipal Lindolfo Monteiro (Teresina- Piauí)
