timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1681558500,Apr 15 2023 - 11:35am,complete,N/A,Dalian Yifang,Nantong Zhiyun,Xing Qi,1,0.00,0.00,1.50,0.50,2,1,3,3,2,1,"4,7","26",2,7,1,0,1,0,0,1,1,0,9,11,4,3,5,8,11,12,48,52,0.00,0.00,1.20,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.45,3.14,1.33,1.96,3.60,5.60,1.75,2.00,Dalian Sports Center (Dalian)
1681558500,Apr 15 2023 - 11:35am,complete,N/A,Wuhan Three Towns,Shanghai SIPG,Lei Zhang,1,0.00,0.00,0.75,2.50,0,2,2,0,0,0,"","64,79",5,4,1,0,2,0,0,1,1,1,8,9,5,4,3,5,11,12,39,61,0.00,0.00,1.22,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,3.34,1.25,1.75,3.00,5.70,1.62,2.20,Wuhan Sports Center Stadium (Wuhan)
1681558500,Apr 15 2023 - 11:35am,complete,N/A,Hangzhou,Changchun Yatai,Kun Ai,1,0.00,0.00,0.00,2.00,0,2,2,0,0,0,"","80,88",9,5,1,0,0,0,0,1,0,0,10,9,4,4,6,5,13,16,57,43,0.00,0.00,1.28,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.70,4.42,1.28,1.90,3.15,6.00,1.91,1.91,Huzhou Olympic Sports Center (Huzhou)
1681560300,Apr 15 2023 - 12:05pm,complete,N/A,Beijing Guoan,Meizhou Hakka,Ning Ma,1,0.00,0.00,1.50,1.25,1,1,2,1,0,1,"54","19",8,2,2,0,5,0,0,2,1,4,15,8,7,6,8,2,9,18,64,36,0.00,0.00,1.83,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.80,5.08,1.31,1.90,3.40,6.80,2.10,1.63,Workers' Stadium (Beijing)
1681644900,Apr 16 2023 - 11:35am,complete,N/A,Henan Jianye,Chengdu Better City FC,Jing Wang,1,0.00,0.00,0.75,1.50,1,1,2,1,0,1,"56","28",2,5,3,0,1,0,2,1,0,1,3,9,2,6,1,3,12,21,52,48,0.00,0.00,0.63,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.30,2.50,1.31,1.95,3.38,6.55,1.75,2.00,Zhengzhou Hanghai Stadium (Zhengzhou)
1681644900,Apr 16 2023 - 11:35am,complete,N/A,Tianjin Teda,Shijiazhuang Ever Bright,Wei Liu,1,0.00,0.00,2.00,1.25,1,1,2,1,0,1,"80","43",7,3,3,0,1,0,2,1,0,1,14,6,5,2,9,4,13,8,64,36,0.00,0.00,1.76,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.52,3.82,1.30,2.00,3.50,6.80,1.80,1.95,Tianjin Olympic Center Stadium (Tianjin)
1681644900,Apr 16 2023 - 11:35am,complete,N/A,Shanghai Shenhua,Shandong Luneng,Zhe Wang,1,0.00,0.00,2.20,0.60,1,0,1,1,1,0,"40","",4,8,1,0,2,0,0,1,0,2,8,13,2,6,6,7,10,15,31,69,0.00,0.00,0.90,2.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.35,1.93,1.27,1.70,3.10,5.70,1.70,2.05,Shanghai Stadium (Shanghai)
1681644900,Apr 16 2023 - 11:35am,complete,N/A,Shenzhen,Qingdao Jonoon,Long Zhang,1,0.00,0.00,1.17,0.25,2,1,3,2,2,0,"30,42","65",4,6,3,0,2,0,0,3,2,0,4,18,3,4,1,14,10,14,61,39,0.00,0.00,0.62,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.25,2.00,1.25,1.77,2.95,5.45,1.75,2.03,Shenzhen Universiade Sports Centre (Shenzhen)
1681990500,Apr 20 2023 - 11:35am,complete,N/A,Wuhan Three Towns,Beijing Guoan,Di Wang,2,0.00,0.00,0.75,1.25,1,1,2,0,0,0,"90'2","62",4,8,3,0,2,0,0,3,1,1,13,15,5,7,8,8,14,10,49,51,1.22,0.00,1.45,1.74,1.00,0,50,0,0,0,0,0,50,50,5.00,1.00,1.89,3.28,3.17,1.28,1.75,3.20,5.50,1.62,2.20,Wuhan Sports Center Stadium (Wuhan)
1682069400,Apr 21 2023 - 9:30am,complete,N/A,Tianjin Teda,Hangzhou,Ming Fu,2,1.00,0.00,2.00,1.00,2,1,3,3,2,1,"26,29","14",5,2,0,1,2,0,0,1,1,1,9,10,5,5,4,5,5,16,48,52,1.76,0.00,1.28,1.21,1.00,50,50,0,0,0,0,50,0,50,7.00,3.00,2.69,3.17,2.37,1.40,2.00,4.33,7.45,1.90,1.83,Tianjin Olympic Center Stadium (Tianjin)
