team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
CD Popular Junior FC SA,Junior,2021,Colombia,48,24,24,0,19,15,4,19,7,12,10,2,8,1.58,2.17,1,2,1,8,5,61,47,14,108,58,50,40,21,18,29,22,-8,71,54,102,92,120,74,17,12,5,26,12,14,11,3,8,23,16,7,238,126,112,128,63,65,52,53,51,397,218,179,229,127,102,168,91,77,546,272,274,24,17,7,22,8,14,2,9,-7,14,9,5,23,13,10,11,2,9,1.35,1.67,1.04,2.25,2.42,2.08,1.27,1.67,0.88,0.98,0.75,1.21,0.96,1.04,0.88,0.5,0.71,0.29,0.46,0.33,0.58,42,34,19,9,3,1,21,17,12,5,2,1,21,17,7,4,1,0,6,14,29,39,45,47,3,7,12,19,22,23,3,7,17,20,23,24,88,71,40,19,6,2,88,71,50,21,8,4,88,71,29,17,4,0,12,29,60,81,94,98,12,29,50,79,92,96,12,29,71,83,96,100,31,12,2,15,7,2,16,5,0,65,25,4,63,29,8,67,21,0,40,63,17,27,35,50,21,54,50,58,23,13,33,48,67,29,29,16,13,60,67,54,28,11,17,58,46,71,8,6,2,17,25,8,29,38,21,48,54,42,23,8,38,4.96,5.25,4.67,2.67,2.63,2.71,81,63,52,44,27,15,8,4,1.56,1.71,1.42,1.08,0.91,1.24,54,7,2,6,4,9,5,11,9,8,8,2,5,6,2,5,3,12,4,40,29,50,21,8,33,0
Asociación Deportivo Cali,Deportivo Cali,2021,Colombia,48,24,24,0,22,10,12,16,11,5,10,3,7,1.71,1.71,1.71,1,5,1,4,62,46,16,108,46,62,28,34,18,28,10,6,70,77,63,94,120,77,15,10,5,25,12,13,12,5,7,25,15,10,262,141,121,139,75,64,50,52,49,397,208,189,206,109,97,191,99,92,563,272,291,23,13,10,21,10,11,2,3,-1,12,7,5,22,11,11,14,6,8,1.21,1.33,1.08,2.25,1.92,2.58,1.29,1.17,1.42,0.96,0.75,1.17,0.92,0.96,0.88,0.48,0.54,0.42,0.44,0.42,0.46,44,33,18,8,3,1,21,16,6,3,0,0,23,17,12,5,3,1,4,15,30,40,45,47,3,8,18,21,24,24,1,7,12,19,21,23,92,69,38,17,6,2,88,67,25,13,0,0,96,71,50,21,13,4,8,31,62,83,94,98,12,33,75,87,100,100,4,29,50,79,87,96,30,10,4,16,6,1,14,4,3,63,21,8,67,25,4,58,17,13,46,42,50,7,31,42,21,52,50,54,25,21,29,52,63,42,29,15,14,60,63,58,30,13,17,63,54,71,7,4,3,15,17,13,25,29,21,46,46,46,29,25,33,5.46,5.88,5.04,2.9,3.13,2.67,79,77,69,60,48,35,21,21,1.41,1.50,1.33,1.22,1.07,1.39,52,4,5,7,3,6,5,12,8,12,3,7,5,4,3,6,5,4,9,33,46,21,21,13,29,15
Independiente Santa Fe SA,Santa Fe,2021,Colombia,40,20,20,0,15,7,8,14,7,7,11,6,5,1.48,1.4,1.55,14,13,5,8,47,39,8,86,44,42,24,23,20,19,4,4,76,75,78,92,90,95,15,6,9,20,10,10,10,6,4,18,10,8,193,107,86,95,47,48,55,54,57,322,164,158,166,77,89,156,87,69,503,263,240,21,11,10,19,9,10,2,2,0,11,7,4,19,7,12,10,6,4,1.3,1.4,1.2,2.15,2.2,2.1,1.18,1.2,1.15,0.98,1,0.95,1,1,1,0.53,0.55,0.5,0.48,0.45,0.5,35,28,13,6,2,1,18,15,6,4,1,0,17,13,7,2,1,1,5,12,27,34,38,39,2,5,14,16,19,20,3,7,13,18,19,19,88,70,33,15,5,3,90,75,30,20,5,0,85,65,35,10,5,5,12,30,67,85,95,97,10,25,70,80,95,100,15,35,65,90,95,95,27,11,1,15,5,0,12,6,1,68,28,3,75,25,0,60,30,5,38,35,40,0,38,30,45,50,50,50,25,30,20,45,50,40,24,12,12,60,60,60,22,11,11,55,55,55,7,2,5,18,10,25,28,35,20,48,35,60,25,30,20,4.83,5.35,4.30,2.38,2.35,2.40,73,55,48,40,28,20,20,8,1.52,1.49,1.55,1.11,0.99,1.25,53,2,7,1,8,5,6,2,6,10,7,2,5,5,1,3,6,1,9,35,35,35,28,30,25,5
Once Caldas SA,Once Caldas,2021,Colombia,38,19,19,0,8,6,2,13,5,8,17,8,9,0.97,1.21,0.74,17,15,18,17,38,53,-15,91,45,46,22,16,23,30,-1,-14,90,78,107,65,74,57,7,3,4,21,11,10,14,6,8,16,10,6,173,102,71,106,51,55,50,50,50,313,168,145,155,80,75,158,88,70,466,216,250,21,12,9,25,12,13,-4,0,-4,8,5,3,17,8,9,13,6,7,1.08,1.21,0.95,2.39,2.37,2.42,1,1.16,0.84,1.39,1.21,1.58,1.21,1.26,1.16,0.55,0.63,0.47,0.66,0.63,0.68,34,28,14,7,4,3,18,14,7,3,2,1,16,14,7,4,2,2,4,10,24,31,34,35,1,5,12,16,17,18,3,5,12,15,17,17,89,74,37,18,11,8,95,74,37,16,11,5,84,74,37,21,11,11,11,26,63,82,89,92,5,26,63,84,89,95,16,26,63,79,89,89,28,12,5,14,6,3,14,6,2,74,32,13,74,32,16,74,32,11,21,32,11,15,18,16,21,55,58,53,37,32,42,42,53,32,17,9,8,45,47,42,20,10,10,53,53,53,11,5,6,29,26,32,21,26,16,45,42,47,34,32,37,4.55,5.37,3.74,2.79,2.68,2.89,76,71,66,61,45,24,18,16,1.30,1.44,1.16,1.36,1.24,1.48,47,5,5,5,4,4,4,3,2,6,4,4,6,7,7,6,7,7,5,34,26,42,45,42,47,5
Millonarios FC SA,Millonarios,2021,Colombia,50,25,25,0,26,15,11,10,5,5,14,5,9,1.76,2,1.52,2,4,3,2,78,53,25,131,62,69,40,38,22,31,18,7,58,56,59,85,102,73,17,9,8,27,13,14,11,6,5,30,17,13,250,146,104,137,60,77,51,53,50,398,219,179,219,123,96,179,96,83,531,253,278,33,17,16,20,6,14,13,11,2,18,10,8,24,12,12,8,3,5,1.56,1.68,1.44,2.62,2.48,2.76,1.56,1.6,1.52,1.06,0.88,1.24,1.06,0.92,1.2,0.66,0.68,0.64,0.4,0.24,0.56,45,36,24,13,7,3,22,17,12,6,3,1,23,19,12,7,4,2,5,14,26,37,43,47,3,8,13,19,22,24,2,6,13,18,21,23,90,72,48,26,14,6,88,68,48,24,12,4,92,76,48,28,16,8,10,28,52,74,86,94,12,32,52,76,88,96,8,24,52,72,84,92,31,16,5,15,7,1,16,9,4,62,32,10,60,28,4,64,36,16,52,60,44,10,34,36,32,54,52,56,22,24,20,60,68,52,35,19,16,70,76,64,25,13,12,50,52,48,9,3,6,18,12,24,36,40,32,48,48,48,16,12,20,5.00,5.84,4.16,2.74,2.4,3.08,68,54,42,34,20,12,10,8,1.38,1.56,1.23,1.03,0.95,1.10,70,9,10,8,3,8,6,9,11,14,3,2,3,6,8,6,7,6,12,20,20,20,28,20,36,2
Deportivo Independiente Medellín,Independiente Medellín,2021,Colombia,38,19,19,0,11,6,5,19,13,6,8,0,8,1.37,1.63,1.11,12,10,11,10,31,30,1,61,30,31,19,12,11,19,8,-7,110,90,143,114,155,90,18,11,7,14,8,6,16,7,9,14,6,8,173,105,68,106,52,54,51,54,49,276,146,130,148,83,65,128,63,65,461,232,229,11,8,3,13,5,8,-2,3,-5,5,4,1,25,14,11,8,1,7,1.05,1.37,0.74,1.61,1.58,1.63,0.82,1,0.63,0.79,0.58,1,0.63,0.68,0.58,0.29,0.42,0.16,0.34,0.26,0.42,28,19,9,5,0,0,12,9,5,4,0,0,16,10,4,1,0,0,10,19,29,33,38,38,7,10,14,15,19,19,3,9,15,18,19,19,74,50,24,13,0,0,63,47,26,21,0,0,84,53,21,5,0,0,26,50,76,87,100,100,37,53,74,79,100,100,16,47,79,95,100,100,17,6,1,8,4,1,9,2,0,45,16,3,42,21,5,47,11,0,29,32,26,25,47,58,37,37,42,32,42,37,47,37,32,42,25,14,11,66,74,58,29,12,17,76,63,89,5,4,1,13,21,5,13,21,5,66,74,58,21,5,37,4.55,5.53,3.58,2.79,2.74,2.84,76,66,55,42,34,26,24,8,1.24,1.36,1.13,1.31,1.16,1.45,32,3,0,3,3,5,2,6,2,7,2,5,2,2,3,1,5,2,8,50,68,32,21,0,42,3
CA Bucaramanga,Atlético Bucaramanga,2021,Colombia,38,19,19,0,13,9,4,12,5,7,13,5,8,1.34,1.68,1,11,8,13,12,46,45,1,91,52,39,30,16,22,23,8,-7,74,57,107,76,78,74,8,4,4,21,12,9,13,4,9,15,11,4,168,87,81,90,43,47,48,50,47,290,157,133,165,87,78,125,70,55,457,258,199,23,17,6,19,8,11,4,9,-5,14,11,3,13,4,9,11,4,7,1.45,1.95,0.95,2.39,2.74,2.05,1.21,1.58,0.84,1.18,1.16,1.21,1.11,1.32,0.89,0.61,0.89,0.32,0.5,0.42,0.58,34,28,14,6,5,2,18,14,8,4,4,2,16,14,6,2,1,0,4,10,24,32,33,36,1,5,11,15,15,17,3,5,13,17,18,19,89,74,37,16,13,5,95,74,42,21,21,11,84,74,32,11,5,0,11,26,63,84,87,95,5,26,58,79,79,89,16,26,68,89,95,100,28,9,4,16,5,3,12,4,1,74,24,11,84,26,16,63,21,5,34,47,21,17,21,21,21,55,63,47,34,21,47,39,58,21,21,12,9,55,63,47,20,6,14,53,32,74,7,4,3,18,21,16,37,58,16,34,21,47,29,21,37,4.42,4.58,4.26,2.43,2.26,2.61,84,74,57,50,50,34,24,18,1.36,1.44,1.28,1.35,1.24,1.47,53,5,5,3,7,4,3,4,7,8,2,4,5,5,5,3,7,5,9,32,26,37,34,26,42,18
Club Deportes Tolima SA,Deportes Tolima,2021,Colombia,52,26,26,0,23,14,9,21,9,12,8,3,5,1.73,1.96,1.5,1,3,2,1,69,41,28,110,57,53,37,32,20,21,17,11,68,63,73,114,117,111,21,10,11,26,14,12,13,4,9,27,18,9,216,111,105,156,75,81,50,51,48,390,229,161,182,99,83,208,130,78,718,321,397,28,17,11,20,7,13,8,10,-2,15,10,5,27,15,12,10,1,9,1.38,1.73,1.04,2.12,2.19,2.04,1.33,1.42,1.23,0.79,0.77,0.81,0.92,0.92,0.92,0.54,0.65,0.42,0.38,0.27,0.5,44,34,18,9,5,0,24,17,9,5,2,0,20,17,9,4,3,0,8,18,34,43,47,52,2,9,17,21,24,26,6,9,17,22,23,26,85,65,35,17,10,0,92,65,35,19,8,0,77,65,35,15,12,0,15,35,65,83,90,100,8,35,65,81,92,100,23,35,65,85,88,100,30,13,5,14,7,3,16,6,2,58,25,10,54,27,12,62,23,8,44,54,35,5,40,38,42,50,54,46,25,15,35,52,69,35,35,20,15,67,77,58,31,13,18,60,50,69,8,5,3,15,19,12,29,38,19,52,58,46,19,4,35,4.15,4.27,4.04,3,2.88,3.12,67,52,40,33,25,17,12,8,1.25,1.43,1.07,1.26,1.19,1.33,40,1,10,5,7,5,11,12,6,12,3,4,5,5,4,2,8,3,7,40,35,46,15,12,19,4
Sociedad Anónima Deportiva América SA,América de Cali,2021,Colombia,46,23,23,0,17,9,8,14,7,7,15,7,8,1.41,1.48,1.35,3,7,6,6,51,42,9,93,43,50,24,27,19,23,5,4,81,87,77,99,108,90,17,9,8,22,10,12,14,8,6,20,10,10,228,124,104,115,50,65,52,55,50,356,211,145,197,107,90,159,104,55,542,260,282,19,7,12,18,5,13,1,2,-1,12,7,5,23,11,12,11,5,6,1.28,1.39,1.17,2.02,1.87,2.17,1.11,1.04,1.17,0.91,0.83,1,0.8,0.52,1.09,0.41,0.3,0.52,0.39,0.22,0.57,39,29,17,5,2,1,19,13,8,2,1,0,20,16,9,3,1,1,7,17,29,41,44,45,4,10,15,21,22,23,3,7,14,20,22,22,85,63,37,11,4,2,83,57,35,9,4,0,87,70,39,13,4,4,15,37,63,89,96,98,17,43,65,91,96,100,13,30,61,87,96,96,27,8,1,12,0,0,15,8,1,59,17,2,52,0,0,65,35,4,37,39,35,2,37,39,35,48,43,52,30,35,26,43,43,43,30,18,12,65,78,52,30,16,14,65,70,61,5,0,5,11,0,22,26,30,22,50,48,52,24,22,26,4.96,5.39,4.52,2.5,2.17,2.83,76,63,54,39,33,17,11,4,1.41,1.63,1.21,1.14,1.07,1.20,46,6,5,1,5,4,7,5,6,12,2,5,6,2,6,6,5,4,6,30,30,30,33,30,35,0
Club Atlético Nacional SA,Atlético Nacional,2021,Colombia,46,23,23,0,23,15,8,14,6,8,9,2,7,1.8,2.22,1.39,3,2,4,3,81,40,41,121,68,53,51,30,17,23,34,7,51,41,69,103,122,90,20,12,8,23,11,12,8,1,7,30,18,12,234,126,108,112,46,66,53,55,51,359,199,160,189,106,83,170,93,77,426,243,183,33,21,12,15,8,7,18,13,5,19,12,7,22,9,13,5,2,3,1.72,1.96,1.48,2.63,2.96,2.3,1.76,2.22,1.3,0.87,0.74,1,1.04,1.26,0.83,0.72,0.91,0.52,0.33,0.35,0.3,41,32,20,15,7,3,22,18,10,8,4,3,19,14,10,7,3,0,5,14,26,31,39,43,1,5,13,15,19,20,4,9,13,16,20,23,89,70,43,33,15,7,96,78,43,35,17,13,83,61,43,30,13,0,11,30,57,67,85,93,4,22,57,65,83,87,17,39,57,70,87,100,29,13,5,16,8,4,13,5,1,63,28,11,70,35,17,57,22,4,50,65,35,21,43,52,35,50,48,52,17,4,30,65,78,52,34,17,17,74,74,74,19,7,12,41,30,52,10,6,4,22,26,17,41,52,30,48,39,57,11,9,13,5.09,5.48,4.70,2.43,2,2.87,76,70,59,43,35,24,17,13,1.29,1.37,1.20,1.14,1.02,1.27,72,5,7,10,5,10,9,9,12,14,4,1,3,5,4,5,8,6,4,30,26,35,20,9,30,11
