timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1675384800,Feb 03 2023 - 12:40am,complete,N/A,Barranquilla,Real Cartagena,José Alexander Ortiz Novoa,1,0.00,0.00,0.63,1.63,2,2,4,1,1,0,"30,67","47,90'7",3,8,3,1,3,1,0,4,1,3,10,13,7,9,3,4,10,21,56,44,0.00,0.00,1.70,2.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,2.99,3.15,1.44,2.19,4.15,8.00,1.95,1.73,Estadio Romelio Martínez (Barranquilla)
1675458000,Feb 03 2023 - 9:00pm,complete,N/A,Cúcuta Deportivo,Orsomarso,Liz Mair Suárez Tejada,1,0.00,0.00,2.50,0.63,1,0,1,0,0,0,"77","",6,6,4,0,5,0,1,3,2,3,2,2,2,0,0,2,-1,-1,50,50,0.00,0.00,0.68,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.05,7.41,1.33,1.95,3.65,7.50,2.15,1.60,Estadio General Santander (Cúcuta)
1675544400,Feb 04 2023 - 9:00pm,complete,N/A,Cortuluá,Valledupar,Jonathan Jair Ortíz Tonguino,1,0.00,0.00,1.88,0.75,1,0,1,1,1,0,"8","",2,4,2,0,4,0,1,1,1,3,3,6,2,2,1,4,-1,-1,50,50,0.00,0.00,0.96,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,4.04,4.58,1.16,1.70,2.45,4.30,1.65,2.05,Estadio Doce de Octubre (Tuluá)
1675544400,Feb 04 2023 - 9:00pm,complete,N/A,Patriotas Boyacá,Llaneros,Wander Mosquera Mena,1,0.00,0.00,2.25,1.38,1,0,1,0,0,0,"76","",4,4,-1,-1,-1,-1,-1,-1,-1,-1,11,5,4,2,7,3,-1,-1,50,50,0.00,0.00,1.37,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.14,3.40,1.36,2.50,3.70,7.20,1.87,1.80,Estadio de La Independencia (Tunja)
1675544400,Feb 04 2023 - 9:00pm,complete,N/A,Atlético,Real Santander,N/A,1,0.00,0.00,1.00,0.75,1,1,2,2,1,1,"21","33",4,4,-1,-1,-1,-1,-1,-1,-1,-1,8,6,4,3,4,3,-1,-1,46,54,0.00,0.00,1.00,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.68,3.03,2.93,1.36,2.10,3.80,8.25,1.88,1.80,Estadio Olímpico Pascual Guerrero (Santiago de Cali)
1675816200,Feb 08 2023 - 12:30am,complete,N/A,Leones,Universitario Popayán,Jhonatan Aguirre Pérez,1,0.00,0.00,1.00,0.38,1,1,2,0,0,0,"90'2","54",3,4,1,0,4,0,1,0,2,2,10,7,5,4,5,3,13,14,50,50,0.00,0.00,1.77,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.58,4.03,5.96,1.31,1.96,3.48,6.65,1.98,1.70,Estadio Metropolitano de Itagüí (Itagüí)
1675976400,Feb 09 2023 - 9:00pm,complete,N/A,Real Cartagena,Patriotas Boyacá,Wilmar Hernando Montaño Guevara,2,0.00,0.00,1.63,1.50,3,2,5,3,2,1,"5,7,53","28,77",3,7,2,1,1,0,1,2,0,1,8,7,8,3,0,4,13,9,50,50,0.00,0.00,1.64,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.12,3.15,1.94,1.39,2.19,4.20,8.20,2.01,1.68,Estadio Olímpico Jaime Morón León (Cartagena de Indias)
1676145600,Feb 11 2023 - 8:00pm,complete,N/A,Real Santander,Fortaleza CEIF,N/A,2,0.00,0.00,1.75,0.88,2,0,2,0,0,0,"77,83","",2,4,-1,-1,-1,-1,-1,-1,-1,-1,10,9,4,3,6,6,-1,-1,43,57,0.00,0.00,1.24,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.05,1.77,1.33,2.10,3.60,6.50,1.87,1.83,Estadio Villa Concha (Piedecuesta)
1676145600,Feb 11 2023 - 8:00pm,complete,N/A,Valledupar,Cúcuta Deportivo,N/A,2,0.00,0.00,1.88,1.00,1,1,2,2,1,1,"19","42",1,1,2,0,3,0,1,1,2,1,2,2,2,0,0,2,-1,-1,50,50,0.00,0.00,0.32,0.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.93,3.08,2.42,1.44,2.40,4.33,6.55,1.98,1.71,Estadio Armando Maestre Pavajeau (Valledupar)
1676149200,Feb 11 2023 - 9:00pm,complete,N/A,Orsomarso,Atlético,Camilo Alejandro Colmenares Pérez ,2,0.00,0.00,1.50,0.25,1,0,1,0,0,0,"75","",5,1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,4,3,4,8,-1,-1,58,42,0.00,0.00,1.07,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.32,2.76,2.72,1.44,2.48,4.33,8.80,1.97,1.71,Estadio Francisco Rivera Escobar (Palmira)
