timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,Waldhof Mannheim,Magdeburg,Florian Heft,1,0.00,0.00,1.61,1.94,0,2,2,2,0,2,"","6,9",8,3,3,0,5,0,1,2,2,3,11,9,5,5,6,4,15,18,53,47,1.56,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.35,2.30,1.29,1.83,2.90,5.25,1.69,2.10,Carl-Benz-Stadion (Mannheim)
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,Havelse,Saarbrucken,Alexander Sather,1,0.00,0.00,0.72,1.33,0,1,1,1,0,1,"","19",6,9,3,0,0,0,1,2,0,0,6,9,4,4,2,5,14,8,45,55,1.13,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.90,1.74,1.29,1.77,2.85,5.00,1.80,1.95,Wilhelm-Langrehr-Stadion (Garbsen)
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,Kaiserslautern,Eintracht Braunschweig,Martin Thomsen,1,0.00,0.00,2.22,1.89,0,0,0,0,0,0,"","",6,4,3,0,2,0,0,3,0,2,8,6,5,0,3,6,22,22,57,43,1.38,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.75,1.71,1.19,1.54,2.25,3.65,1.56,2.15,Fritz-Walter-Stadion (Kaiserslautern)
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,Hallescher FC,Meppen,Konrad Oldhfer,1,0.00,0.00,1.56,1.22,3,1,4,4,3,1,"27,39,44","18",3,8,1,0,5,0,1,0,2,3,10,6,7,4,3,2,14,15,48,52,1.46,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.65,3.55,1.25,1.69,2.60,4.50,1.62,2.20,ERDGAS Sportpark (Halle (Saale))
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,Zwickau,Borussia Dortmund II,Nico Fuchs,1,0.00,0.00,1.33,1.72,1,2,3,2,1,1,"3","12,58",10,5,0,0,1,1,0,0,0,2,18,10,7,6,11,4,7,13,58,42,2.20,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.40,3.00,1.28,1.77,2.80,4.75,1.65,2.20,GGZ Arena (Zwickau)
1627128000,Jul 24 2021 - 12:00pm,complete,N/A,1860 München,Würzburger Kickers,Franz Bokop,1,0.00,0.00,1.72,1.06,1,0,1,1,1,0,"12","",4,6,1,0,5,0,0,1,1,4,11,8,7,3,4,5,12,14,48,52,1.63,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.60,4.15,1.31,1.87,3.00,5.50,1.80,1.95,Städtisches Stadion an der Grünwalder Straße (München)
1627210800,Jul 25 2021 - 11:00am,complete,N/A,Viktoria Berlin,Viktoria Köln,Florian Exner,1,0.00,0.00,1.33,1.00,2,1,3,3,2,1,"36,38","34",4,4,0,0,1,0,0,0,1,0,13,5,7,3,6,2,9,8,48,52,1.68,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.40,2.25,1.29,2.00,2.85,5.00,1.67,2.15,Friedrich-Ludwig-Jahn-Sportpark (Berlin)
1627214400,Jul 25 2021 - 12:00pm,canceled,N/A,Verl,Türkgücü-Ataspor,Patrick Alt,1,0.00,0.00,1.11,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.40,2.75,1.27,1.77,2.75,4.85,1.65,2.20,Stadion am Lotter Kreuz (Lotte)
1627318800,Jul 26 2021 - 5:00pm,complete,N/A,Freiburg II,Wehen Wiesbaden,Robin Braun,1,0.00,0.00,1.67,1.50,0,0,0,0,0,0,"","",0,10,3,0,1,0,0,3,1,0,6,11,3,4,3,7,13,13,50,50,0.89,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.35,2.33,1.29,1.79,2.85,5.00,1.65,2.15,Schwarzwald-Stadion (Freiburg im Breisgau)
1627732800,Jul 31 2021 - 12:00pm,complete,N/A,Viktoria Köln,Zwickau,Max Burda,2,0.00,0.00,1.50,1.28,1,1,2,0,0,0,"72","85",6,4,3,0,2,0,0,3,1,1,12,13,6,6,6,7,16,12,58,42,1.75,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.40,2.70,1.28,1.77,2.80,4.90,1.65,2.15,Sportpark Höhenberg (Köln)
