timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628385300,Aug 08 2021 - 1:15am,complete,N/A,Vida,Lobos UPNFM,N/A,1,0.00,0.00,2.00,0.95,1,1,2,0,0,0,"52","90'4",6,6,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,0,0,-1,-1,58,42,0.00,0.00,0.55,0.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.75,2.75,1.32,2.15,3.26,6.50,1.76,1.97,Estadio Municipal Ceibeño Nilmo Edwards
1628456760,Aug 08 2021 - 9:06pm,complete,N/A,Real Sociedad,Olimpia,N/A,1,0.00,0.00,1.28,1.64,0,3,3,1,0,1,"","25,82,89",4,5,-1,-1,-1,-1,-1,-1,-1,-1,4,6,0,4,4,2,-1,-1,50,50,0.00,0.00,0.51,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.71,3.65,1.63,1.24,1.63,2.50,4.25,1.68,2.05,N/A
1628460000,Aug 08 2021 - 10:00pm,complete,N/A,Motagua,Platense,N/A,1,0.00,0.00,2.17,0.61,3,0,3,2,2,0,"20,40,70","",6,3,1,0,1,0,0,1,0,1,12,11,8,4,4,7,-1,-1,55,45,0.00,0.00,1.75,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,5.85,9.46,1.15,1.43,2.15,3.30,1.95,1.80,Estadio Tiburcio Carías Andino
1628467200,Aug 09 2021 - 12:00am,complete,N/A,Honduras Progreso,Marathón,N/A,1,0.00,0.00,1.50,0.86,1,2,3,1,1,0,"20","58,61",8,8,-1,-1,-1,-1,-1,-1,-1,-1,15,16,7,7,8,9,-1,-1,45,55,0.00,0.00,1.64,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.10,1.35,1.27,1.95,2.70,4.65,1.80,1.90,Estadio Francisco Morazán
1628715960,Aug 11 2021 - 9:06pm,complete,N/A,Marathón,Lobos UPNFM,N/A,2,0.00,1.00,1.90,0.95,5,1,6,4,4,0,"25,29,35,39,58","50",10,5,-1,-1,-1,-1,-1,-1,-1,-1,19,11,12,4,7,7,-1,-1,49,51,0.00,0.48,2.24,1.23,1.00,50,50,0,0,0,0,0,50,50,6.00,0.00,1.84,3.30,3.40,1.28,1.83,2.80,4.90,1.75,1.95,Estadio Yankel Rosenthal
1628730000,Aug 12 2021 - 1:00am,complete,N/A,Victoria,Motagua,N/A,2,0.00,0.00,1.37,1.35,0,1,1,1,0,1,"","38",5,2,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,2,0,0,-1,-1,39,61,0.00,0.00,0.22,0.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,4.50,1.36,0.00,1.80,0.00,0.00,0.00,0.00,Estadio Municipal Ceibeño Nilmo Edwards
1628730360,Aug 12 2021 - 1:06am,complete,N/A,Real Sociedad,Vida,N/A,2,0.00,0.00,1.28,1.25,3,3,6,4,2,2,"24,45,81","14,39,50",3,5,-1,-1,-1,-1,-1,-1,-1,-1,6,7,4,5,2,2,-1,-1,43,57,0.51,0.00,0.90,1.13,1.50,0,50,50,0,0,0,50,50,50,4.00,0.00,1.72,3.20,2.00,1.27,1.95,2.65,4.60,1.75,1.95,N/A
1628731800,Aug 12 2021 - 1:30am,complete,N/A,Olimpia,Real España,N/A,2,0.00,0.00,2.00,1.82,1,1,2,0,0,0,"90'2","63",6,1,-1,-1,-1,-1,-1,-1,-1,-1,14,6,7,2,7,4,-1,-1,59,41,0.00,0.00,1.93,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,4.20,4.75,1.31,1.70,3.05,5.75,1.80,1.90,Estadio Tiburcio Carías Andino
1628816400,Aug 13 2021 - 1:00am,complete,N/A,Platense,Honduras Progreso,N/A,2,0.00,0.00,1.00,0.61,1,1,2,2,1,1,"45'2","11",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.50,2.38,1.21,1.57,2.45,4.10,1.65,2.15,Estadio Excelsior
1628975160,Aug 14 2021 - 9:06pm,complete,N/A,Marathón,Motagua,N/A,3,3.00,3.00,1.90,1.35,2,0,2,0,0,0,"80,90","",6,5,-1,-1,-1,-1,-1,-1,-1,-1,12,14,7,5,5,9,-1,-1,47,53,2.24,0.55,1.50,1.34,3.50,50,50,50,50,50,50,100,50,50,12.00,0.00,2.55,2.95,2.30,1.26,1.90,3.08,5.45,1.69,2.07,Estadio Yankel Rosenthal
1628989200,Aug 15 2021 - 1:00am,complete,N/A,Victoria,Real Sociedad,N/A,3,0.00,0.00,1.37,0.56,0,2,2,1,0,1,"","27,62",17,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3,0,0,-1,-1,55,45,0.22,0.00,0.45,0.53,0.50,0,0,0,0,0,0,50,0,0,5.00,0.00,2.80,3.00,2.15,0.00,1.95,0.00,0.00,0.00,0.00,Estadio Municipal Ceibeño Nilmo Edwards
1629061200,Aug 15 2021 - 9:00pm,complete,N/A,Lobos UPNFM,Honduras Progreso,N/A,3,0.00,1.00,1.26,0.61,3,0,3,2,2,0,"4,40,83","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,50,50,0,0,0.00,0.00,1.90,3.52,3.76,1.28,1.93,2.85,4.95,1.83,1.91,N/A
1629064800,Aug 15 2021 - 10:00pm,complete,N/A,Platense,Real España,N/A,3,1.00,1.00,1.00,1.82,0,2,2,0,0,0,"","47,64",3,3,-1,-1,-1,-1,-1,-1,-1,-1,12,9,2,5,10,4,-1,-1,52,48,0.00,0.86,1.15,1.15,2.00,100,100,0,0,0,50,50,50,50,1.00,0.00,2.80,2.80,2.20,1.29,1.80,2.80,4.90,1.65,1.95,Estadio Excelsior
1629064800,Aug 15 2021 - 10:00pm,complete,N/A,Olimpia,Vida,N/A,3,1.00,1.00,2.00,1.25,1,1,2,1,1,0,"8","90'1",5,8,0,0,0,1,0,0,0,1,14,13,7,4,7,9,-1,-1,53,47,1.93,1.13,1.95,1.56,4.00,100,100,50,50,50,50,50,100,100,11.00,0.00,1.22,5.25,8.25,1.16,1.47,2.15,3.50,1.83,1.71,Estadio Tiburcio Carías Andino
1629586800,Aug 21 2021 - 11:00pm,complete,N/A,Real España,Real Sociedad,N/A,4,0.00,3.00,2.09,0.56,1,1,2,1,0,1,"84","28",7,4,-1,-1,-1,-1,-1,-1,-1,-1,5,2,2,2,3,0,-1,-1,63,37,0.00,0.53,0.89,0.36,1.00,0,50,0,0,0,0,50,0,50,1.00,0.00,1.22,3.75,3.75,1.36,2.20,3.45,6.25,2.05,1.68,Estadio Francisco Morazán
1629594000,Aug 22 2021 - 1:00am,complete,N/A,Lobos UPNFM,Platense,N/A,4,3.00,0.00,1.26,0.61,3,0,3,3,3,0,"16,29,32","",5,1,-1,-1,-1,-1,-1,-1,-1,-1,18,11,9,4,9,7,-1,-1,47,53,0.00,1.49,2.16,1.19,3.00,0,100,100,0,0,100,100,0,100,3.00,1.00,1.02,9.00,11.00,1.24,1.40,2.55,4.35,9.20,1.03,N/A
1629594000,Aug 22 2021 - 1:00am,complete,N/A,Honduras Progreso,Victoria,N/A,4,0.00,0.00,1.50,1.11,2,0,2,2,2,0,"10,24","",3,3,-1,-1,-1,-1,-1,-1,-1,-1,14,10,4,4,10,6,-1,-1,49,51,1.64,0.00,1.48,1.16,1.50,50,50,50,0,0,0,50,50,50,8.00,0.00,1.80,3.30,3.35,0.00,1.60,0.00,0.00,0.00,0.00,Estadio Humberto Micheletti
1629594900,Aug 22 2021 - 1:15am,complete,N/A,Vida,Marathón,N/A,4,1.00,3.00,2.00,0.86,2,0,2,2,2,0,"23,41","",5,5,-1,-1,-1,-1,-1,-1,-1,-1,3,0,3,0,0,0,-1,-1,41,59,0.55,1.83,0.61,0.18,2.50,100,100,50,0,0,0,50,100,100,14.00,0.00,2.30,2.90,2.65,1.30,1.87,2.90,5.25,1.69,1.87,Estadio Municipal Ceibeño Nilmo Edwards
1629669600,Aug 22 2021 - 10:00pm,complete,N/A,Motagua,Olimpia,N/A,4,3.00,3.00,2.17,1.64,3,2,5,2,1,1,"8,67,80","25,90'6",3,8,-1,-1,-1,-1,-1,-1,-1,-1,13,19,7,10,6,9,-1,-1,40,60,1.75,0.98,1.78,2.55,3.00,0,100,100,0,0,50,100,50,100,11.00,1.00,2.99,3.10,2.02,1.29,1.96,2.80,4.95,1.69,1.91,Estadio Tiburcio Carías Andino
1629936000,Aug 26 2021 - 12:00am,complete,N/A,Real España,Lobos UPNFM,N/A,5,1.00,0.50,2.09,0.95,5,3,8,5,3,2,"9,20,37,71,86","24,32,55",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.89,0.86,0.00,0.00,3.00,100,100,25,25,25,25,75,50,100,12.50,0.00,1.06,5.50,7.50,1.34,1.29,2.20,6.00,2.00,1.73,Estadio Francisco Morazán
1629939960,Aug 26 2021 - 1:06am,complete,N/A,Vida,Victoria,N/A,5,2.00,0.00,2.00,1.11,2,0,2,0,0,0,"64,90'1","",14,3,-1,-1,-1,-1,-1,-1,-1,-1,3,0,3,0,0,0,-1,-1,54,46,0.58,1.16,0.82,0.21,2.00,25,100,0,0,0,75,75,25,25,8.50,0.00,1.41,3.90,5.75,1.25,1.69,2.70,4.65,1.80,1.77,Estadio Municipal Ceibeño Nilmo Edwards
1629939960,Aug 26 2021 - 1:06am,complete,N/A,Real Sociedad,Motagua,N/A,5,0.50,1.50,1.28,1.35,3,3,6,2,2,0,"9,44,78","50,74,9005",1,10,3,0,2,0,0,3,1,1,6,4,4,4,2,0,-1,-1,37,63,0.70,0.94,0.85,0.95,3.00,25,75,50,25,25,25,75,75,75,7.00,0.00,3.60,3.10,1.80,1.32,1.87,3.05,5.50,1.80,1.77,N/A
1629941400,Aug 26 2021 - 1:30am,complete,N/A,Olimpia,Honduras Progreso,N/A,5,1.00,0.50,2.00,0.61,2,1,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.94,0.00,0.00,0.00,2.25,75,100,25,0,0,50,75,25,75,5.50,0.00,1.02,10.00,8.25,1.03,1.10,1.73,2.05,2.20,1.62,Estadio Tiburcio Carías Andino
1630026000,Aug 27 2021 - 1:00am,complete,N/A,Platense,Marathón,N/A,5,0.50,1.50,1.00,0.86,3,1,4,1,0,1,"70,83,90'3","35",2,7,0,0,0,1,0,0,0,1,17,14,8,5,9,9,-1,-1,50,50,1.15,1.01,2.14,1.80,2.25,50,100,25,0,0,50,75,50,50,9.50,0.00,4.80,3.50,1.53,1.25,1.67,2.60,4.40,1.74,1.83,Estadio Excelsior
1630198800,Aug 29 2021 - 1:00am,complete,N/A,Honduras Progreso,Vida,N/A,6,1.50,1.00,1.50,1.25,1,1,2,1,1,0,"15","87",6,3,2,1,3,0,1,2,0,3,5,10,3,5,2,5,-1,-1,55,45,1.56,1.35,0.74,1.25,3.25,75,100,50,25,25,50,100,50,75,12.00,2.00,2.15,3.45,2.45,1.21,1.62,2.50,4.15,1.59,2.05,Estadio Humberto Micheletti
