timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630175400,Aug 28 2021 - 6:30pm,complete,N/A,Fermana,Viterbese Castrense,N/A,1,0.00,0.00,0.92,1.03,3,3,6,2,2,0,"6,22,56","65,68,90'3",3,8,-1,-1,-1,-1,-1,-1,-1,-1,8,22,7,8,1,14,-1,-1,34,66,0.00,0.00,1.38,2.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.83,2.95,2.45,1.39,2.16,3.10,9.00,1.91,1.80,Stadio Bruno Recchioni
1630175400,Aug 28 2021 - 6:30pm,complete,N/A,Pescara,Ancona 1905,Alessandro Di Graci,1,0.00,0.00,1.71,1.50,2,1,3,1,1,0,"35,90'1","63",-1,-1,2,0,2,0,2,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.54,4.26,0.00,1.95,3.30,0.00,0.00,0.00,Stadio Adriatico-Giovanni Cornacchia
1630175400,Aug 28 2021 - 6:30pm,complete,N/A,Virtus Entella,Teramo,Mario Cascone,1,0.00,0.00,1.71,1.11,2,0,2,0,0,0,"57,63","",4,5,2,0,1,0,1,1,1,0,13,14,6,6,7,8,-1,-1,41,59,0.00,0.00,1.60,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,3.90,6.50,1.37,1.90,3.10,6.75,2.25,1.57,Stadio Comunale Chiavari
1630251000,Aug 29 2021 - 3:30pm,complete,N/A,Olbia,Pistoiese,N/A,1,0.00,0.00,1.21,0.95,3,2,5,1,1,0,"13,59,72","53,61",8,4,0,0,2,0,0,0,0,2,14,6,7,3,7,3,-1,-1,50,50,0.00,0.00,1.83,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,3.40,2.95,1.37,2.20,3.84,6.95,2.00,1.73,Stadio Bruno Nespoli
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Cesena,Gubbio,N/A,1,0.00,0.00,1.76,1.37,0,0,0,0,0,0,"","",6,2,-1,-1,-1,-1,-1,-1,-1,-1,11,12,4,5,7,7,-1,-1,56,44,0.00,0.00,1.49,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.00,3.01,1.45,2.34,4.35,7.75,2.00,1.73,Orogel Stadium-Dino Manuzzi
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Grosseto,Modena,N/A,1,0.00,0.00,0.79,2.32,0,0,0,0,0,0,"","",3,5,-1,-1,-1,-1,-1,-1,-1,-1,10,8,6,5,4,3,-1,-1,44,56,0.00,0.00,1.40,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.10,2.05,1.38,2.25,3.74,7.15,1.91,1.80,Stadio Olimpico Carlo Zecchini
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Imolese,Lucchese,N/A,1,0.00,0.00,0.97,1.32,0,1,1,1,0,1,"","38",6,2,2,0,3,0,2,0,3,0,7,8,4,4,3,4,-1,-1,50,50,0.00,0.00,1.01,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.39,2.87,2.87,1.38,2.19,3.84,7.20,1.91,1.80,Stadio Romeo Galli
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Pontedera,Carrarese,N/A,1,0.00,0.00,1.13,1.18,1,1,2,1,1,0,"22","59",3,3,3,0,1,0,1,2,0,1,8,11,4,4,4,7,-1,-1,49,51,0.00,0.00,1.18,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.99,3.29,1.38,2.29,3.84,7.20,1.91,1.80,Stadio Ettore Mannucci
1630261800,Aug 29 2021 - 6:30pm,complete,N/A,Robur Siena,Vis Pesaro,N/A,1,0.00,0.00,1.16,1.18,3,0,3,2,2,0,"3,23,65","",2,4,-1,-1,-1,-1,-1,-1,-1,-1,13,12,8,3,5,9,-1,-1,53,47,0.00,0.00,1.83,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.88,3.00,1.36,2.19,3.74,6.95,1.91,1.80,Stadio Comunale Artemio Franchi - Montepaschi Arena
1630346400,Aug 30 2021 - 6:00pm,complete,N/A,Reggiana,Montevarchi Calcio,N/A,1,0.00,0.00,2.26,1.18,2,0,2,1,1,0,"31,69","",8,3,-1,-1,-1,-1,-1,-1,-1,-1,10,9,6,3,4,6,-1,-1,56,44,0.00,0.00,1.45,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.20,7.00,1.24,1.72,2.50,4.35,1.83,1.83,MAPEI Stadium - Città del Tricolore
