timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1682778600,Apr 29 2023 - 2:30pm,complete,N/A,Catanzaro,FeralpiSalò,N/A,N/A,0.00,0.00,2.00,1.50,2,1,3,0,0,0,"","",6,4,1,0,0,0,1,0,0,0,3,12,0,3,3,9,-1,-1,66,34,0.00,0.00,0.42,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.60,4.50,1.29,1.95,3.24,6.15,1.95,1.78,Stadio Nicola Ceravolo
1683331200,May 06 2023 - 12:00am,canceled,N/A,Imolese,Vis Pesaro,N/A,N/A,0.00,0.00,0.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Romeo Galli
1683378000,May 06 2023 - 1:00pm,complete,N/A,Gelbison,Messina,N/A,N/A,0.00,0.00,1.50,1.50,1,0,1,0,0,0,"90'3","",4,1,3,0,4,0,1,2,1,3,15,8,3,0,12,8,-1,-1,59,41,0.00,0.00,1.65,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,2.80,2.70,1.50,2.70,4.50,9.00,2.20,1.62,Stadio Raffaele Guariglia
1683383400,May 06 2023 - 2:30pm,complete,N/A,Triestina,Sangiuliano City,N/A,N/A,0.00,0.00,2.00,0.50,0,0,0,0,0,0,"","",4,6,1,0,2,0,1,0,1,1,9,5,2,3,7,2,-1,-1,50,50,0.00,0.00,1.21,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,2.84,3.37,1.47,1.85,4.50,9.50,2.50,1.50,Stadio Nereo Rocco
1683385200,May 06 2023 - 3:00pm,complete,N/A,AlbinoLeffe,Mantova,N/A,N/A,0.00,0.00,2.00,0.50,1,0,1,1,1,0,"31","",4,3,-1,-1,-1,-1,-1,-1,-1,-1,6,10,5,2,1,8,-1,-1,37,63,0.00,0.00,1.06,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,2.88,2.50,1.36,2.25,3.50,7.00,1.91,1.80,Stadio Atleti Azzurri d'Italia
1683387000,May 06 2023 - 3:30pm,complete,N/A,San Donato Tavarnelle,US Alessandria,N/A,N/A,0.00,0.00,0.50,2.00,1,2,3,1,0,1,"54","38,71",2,1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,4,6,6,6,-1,-1,59,41,0.00,0.00,1.29,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.00,2.90,1.35,2.00,3.74,7.40,1.73,2.00,Stadio Comunale
1683388800,May 06 2023 - 4:00pm,complete,N/A,FeralpiSalò,Reggiana,N/A,2,0.00,0.00,1.50,0.50,3,1,4,2,2,0,"9,15,90'3","57",0,11,-1,-1,-1,-1,-1,-1,-1,-1,7,17,5,4,2,13,-1,-1,45,55,0.00,0.00,1.37,2.24,1.50,50,50,50,0,0,0,0,0,0,4.00,0.00,2.90,3.25,2.15,1.36,2.20,3.90,7.70,1.86,1.90,MAPEI Stadium - Città del Tricolore
1683820800,May 11 2023 - 4:00pm,complete,N/A,Ancona 1905,Lucchese,N/A,N/A,0.00,0.00,2.00,1.00,1,1,2,0,0,0,"90'5","83",6,2,3,0,4,1,1,2,2,3,9,5,4,4,5,1,-1,-1,39,61,0.00,0.00,1.16,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.25,3.60,1.40,2.10,4.00,8.00,1.91,1.80,Stadio del Conero
1683828000,May 11 2023 - 6:00pm,complete,N/A,Renate,Arzignano Valchiampo,N/A,N/A,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",2,6,3,0,1,0,0,3,0,1,9,9,4,4,5,5,-1,-1,50,50,0.00,0.00,1.31,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,2.82,2.78,1.44,2.25,4.33,8.00,1.91,1.80,Stadio Città di Meda
1683829800,May 11 2023 - 6:30pm,complete,N/A,Virtus Verona,Novara,N/A,N/A,0.00,0.00,3.00,0.00,3,0,3,2,2,0,"4,35,47","",2,7,-1,-1,-1,-1,-1,-1,-1,-1,12,19,11,12,1,7,-1,-1,36,64,0.00,0.00,1.83,2.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,2.80,2.24,1.44,2.47,4.60,9.75,2.00,1.73,Stadio Comunale Gavagnin-Nocini
1683829800,May 11 2023 - 6:30pm,complete,N/A,Calcio Padova,Pergolettese,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"72","",8,7,-1,-1,-1,-1,-1,-1,-1,-1,10,8,4,2,6,6,-1,-1,48,52,0.00,0.00,1.43,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.20,5.40,1.40,2.25,4.00,8.00,2.20,1.62,Stadio Comunale Euganeo
1683829800,May 11 2023 - 6:30pm,complete,N/A,Monopoli,Latina,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"82","",6,2,-1,-1,-1,-1,-1,-1,-1,-1,15,11,5,3,10,8,-1,-1,47,53,0.00,0.00,1.71,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.05,3.05,1.44,2.29,4.50,9.00,2.20,1.62,Stadio Vito Simone Veneziani
1683829800,May 11 2023 - 6:30pm,complete,N/A,Gubbio,Recanatese,N/A,N/A,0.00,0.00,1.00,1.00,1,1,2,1,1,0,"32","54",4,5,5,0,4,1,1,4,0,5,2,0,2,0,0,0,-1,-1,48,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.40,3.25,1.40,2.25,4.00,8.00,1.91,1.80,Stadio Pietro Barbetti
1683829800,May 11 2023 - 6:30pm,complete,N/A,Audace Cerignola,Juve Stabia,N/A,N/A,0.00,0.00,3.00,0.00,3,0,3,2,2,0,"16,28,90'2","",2,3,-1,-1,-1,-1,-1,-1,-1,-1,10,6,5,0,5,6,-1,-1,42,58,0.00,0.00,1.36,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.21,3.30,1.40,2.21,4.00,8.00,2.10,1.67,Campo Comunale Domenico Monterisi
1683829800,May 11 2023 - 6:30pm,complete,N/A,Picerno,Potenza Calcio,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,0,0,0,"","80",4,9,-1,-1,-1,-1,-1,-1,-1,-1,8,17,4,6,4,11,-1,-1,50,50,0.00,0.00,1.19,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.10,1.40,2.19,4.00,8.00,1.80,1.91,N/A
1683830700,May 11 2023 - 6:45pm,complete,N/A,Pontedera,Rimini,N/A,N/A,0.00,0.00,2.00,0.00,2,1,3,3,2,1,"4,10","34",7,8,-1,-1,-1,-1,-1,-1,-1,-1,20,15,8,6,12,9,-1,-1,41,59,0.00,0.00,2.01,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.00,2.73,1.50,2.52,4.50,9.00,1.91,1.80,Stadio Ettore Mannucci
1683936000,May 13 2023 - 12:00am,canceled,N/A,Vis Pesaro,Imolese,N/A,N/A,0.00,0.00,0.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadio Tonino Benelli
1683982800,May 13 2023 - 1:00pm,complete,N/A,Messina,Gelbison,N/A,N/A,0.00,3.00,1.50,1.50,1,0,1,0,0,0,"82","",6,6,-1,-1,-1,-1,-1,-1,-1,-1,10,11,4,5,6,6,-1,-1,57,43,0.00,0.00,1.30,1.35,1.00,0,0,0,0,0,0,0,0,100,5.00,7.00,2.00,3.00,3.80,1.44,2.35,4.50,9.00,2.00,1.73,Stadio Comunale Franco Scoglio
1683990000,May 13 2023 - 3:00pm,complete,N/A,Mantova,AlbinoLeffe,N/A,N/A,0.00,3.00,0.50,2.00,1,1,2,0,0,0,"80","52",8,3,-1,-1,-1,-1,-1,-1,-1,-1,14,8,5,6,9,2,-1,-1,64,36,0.00,0.00,1.73,1.14,1.00,0,0,0,0,0,0,100,0,0,7.00,-2.00,1.80,3.50,4.00,1.50,2.20,4.50,9.00,2.00,1.73,Stadio Danilo Martelli
1683991800,May 13 2023 - 3:30pm,complete,N/A,US Alessandria,San Donato Tavarnelle,N/A,N/A,3.00,0.00,2.00,0.50,1,1,2,1,0,1,"84","44",2,3,-1,-1,-1,-1,-1,-1,-1,-1,10,11,2,5,8,6,-1,-1,41,59,0.00,0.00,1.26,1.56,3.00,100,100,100,0,0,0,100,100,100,3.00,-2.00,2.40,3.00,2.80,1.40,2.05,4.00,7.50,1.80,1.91,Stadio Giuseppe Moccagatta
