timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1662739200,Sep 09 2022 - 4:00pm,complete,N/A,Chabab Atlas Khénifra,AS Salé,N/A,1,0.00,0.00,1.31,0.54,2,1,3,1,1,0,"26,89","46",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.90,2.75,1.47,2.33,5.00,0.00,2.30,1.55,N/A
1662739200,Sep 09 2022 - 4:00pm,complete,N/A,Stade Marocain,USM Oujda,N/A,1,0.00,0.00,2.31,0.54,1,0,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.60,4.50,1.37,2.09,3.75,0.00,2.10,1.66,Stade Municipal Mankon
1662825600,Sep 10 2022 - 4:00pm,complete,N/A,Olympique Dcheïra,Widad Témara,N/A,1,0.00,0.00,1.77,0.46,1,0,1,0,0,0,"47","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.75,4.25,1.20,1.56,2.45,0.00,1.62,2.15,Stade Ahmed Fana
1662825600,Sep 10 2022 - 4:00pm,complete,N/A,Racing de Casablanca,Wydad Fès,N/A,1,0.00,0.00,1.46,0.54,3,2,5,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.00,3.90,1.47,2.27,4.30,0.00,2.05,1.65,Stade Père-Jégo
1662825600,Sep 10 2022 - 4:00pm,complete,N/A,Ittifaq Marrakech,Raja Beni Mellal,N/A,1,0.00,0.00,1.62,1.00,1,0,1,1,1,0,"3","",1,5,-1,-1,-1,-1,-1,-1,-1,-1,11,13,4,5,7,8,-1,-1,50,50,0.00,0.00,1.40,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.75,3.20,1.44,2.88,4.80,0.00,2.20,1.64,Stade de Marrakech
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,Ittihad Khemisset,JSM Laâyoune,N/A,1,0.00,0.00,1.38,0.92,0,0,0,0,0,0,"","",2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.20,3.50,0.00,2.25,0.00,0.00,0.00,0.00,N/A
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,Youssoufia Berrechid,Rapide Oued Zem,N/A,1,0.00,0.00,2.54,1.08,2,0,2,1,1,0,"45'2,88","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.00,5.00,1.47,2.29,4.30,0.00,0.00,0.00,Stade Municipal de Berrechid
1662912000,Sep 11 2022 - 4:00pm,complete,N/A,CR Khemis Zemamra,Chabab Ben Guerir,N/A,1,0.00,0.00,1.92,0.92,3,1,4,3,3,0,"15,22,30","48",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.30,5.00,1.49,2.33,4.75,0.00,2.35,1.53,N/A
1663344000,Sep 16 2022 - 4:00pm,complete,N/A,Widad Témara,Ittihad Khemisset,N/A,2,0.00,0.00,1.00,0.62,2,0,2,0,0,0,"56,90'4","",3,2,-1,-1,-1,-1,-1,-1,-1,-1,11,9,4,2,7,7,-1,-1,50,50,0.00,0.00,1.34,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,2.80,2.80,1.51,2.50,4.40,10.00,2.02,1.76,Stade Municipal de Mahamasina
1663344000,Sep 16 2022 - 4:00pm,complete,N/A,Raja Beni Mellal,Racing de Casablanca,N/A,2,0.00,0.00,1.23,0.92,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,2.95,2.76,0.00,2.52,0.00,0.00,0.00,0.00,Stade Municipal de Beni Mellal
