timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1631297700,Sep 10 2021 - 6:15pm,complete,N/A,Youssoufia Berrechid,Raja Casablanca,N/A,1,0.00,0.00,1.13,1.93,0,1,1,0,0,0,"","60",5,5,-1,-1,-1,-1,-1,-1,-1,-1,7,10,2,3,5,7,-1,-1,47,53,0.00,0.00,0.93,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,2.88,1.35,0.00,2.50,0.00,0.00,2.20,1.62,Stade Municipal de Berrechid
1631305800,Sep 10 2021 - 8:30pm,complete,N/A,Olympic Safi,Difaâ El Jadida,N/A,1,0.00,0.00,1.47,0.87,0,1,1,0,0,0,"","62",3,3,-1,-1,-1,-1,-1,-1,-1,-1,9,7,3,4,6,3,-1,-1,50,50,0.00,0.00,1.48,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.00,1.85,0.00,0.00,0.00,0.00,2.25,1.62,Stade El Massira
1631376000,Sep 11 2021 - 4:00pm,complete,N/A,Khouribga,Mouloudia Oujda,N/A,1,0.00,0.00,1.40,1.00,0,0,0,0,0,0,"","",6,6,-1,-1,-1,-1,-1,-1,-1,-1,12,7,9,2,3,5,-1,-1,50,50,0.00,0.00,1.93,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,2.75,1.75,1.49,2.60,3.90,7.50,2.05,1.70,Stade du Phosphate
1631384100,Sep 11 2021 - 6:15pm,complete,N/A,Chabab Mohammedia,FUS Rabat,N/A,1,0.00,0.00,1.60,1.33,2,0,2,1,1,0,"5,51","",0,3,1,0,3,0,1,0,1,2,5,8,4,3,1,5,-1,-1,44,56,0.00,0.00,0.94,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,2.55,3.05,1.58,2.90,4.70,9.25,2.40,1.54,Stade Al Bachir
1631392200,Sep 11 2021 - 8:30pm,complete,N/A,Hassania Agadir,Rapide Oued Zem,N/A,1,0.00,0.00,1.07,0.80,1,0,1,1,1,0,"39","",3,2,1,0,2,0,0,1,1,1,15,10,8,5,7,5,-1,-1,53,47,0.00,0.00,1.95,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,2.70,3.55,1.56,2.50,4.40,8.75,2.15,1.54,Stade d'Agadir
1631462400,Sep 12 2021 - 4:00pm,complete,N/A,Wydad Casablanca,Ittihad Tanger,N/A,1,0.00,0.00,2.47,0.73,2,0,2,1,1,0,"8,47","",3,9,-1,-1,-1,-1,-1,-1,-1,-1,8,9,5,3,3,6,-1,-1,33,67,0.00,0.00,1.07,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.09,4.00,6.00,1.26,1.83,2.70,4.75,2.00,1.73,Stade Mohamed V
1631478600,Sep 12 2021 - 8:30pm,complete,N/A,Maghreb Fès,RSB Berkane,N/A,1,0.00,0.00,1.80,0.87,0,0,0,0,0,0,"","",1,9,-1,-1,-1,-1,-1,-1,-1,-1,7,9,3,0,4,9,-1,-1,40,60,0.00,0.00,1.00,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,2.40,2.65,1.57,2.50,4.35,8.50,2.05,1.61,Complexe Sportif de Fès
1631721600,Sep 15 2021 - 4:00pm,complete,N/A,FAR Rabat,Riadi Salmi,N/A,1,0.00,0.00,1.73,0.93,0,3,3,1,0,1,"","6,50,90",11,4,-1,-1,-1,-1,-1,-1,-1,-1,14,12,5,9,9,3,-1,-1,55,45,0.00,0.00,1.58,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.00,7.25,1.29,1.80,2.90,5.25,2.00,1.65,Stade Prince Moulay Abdallah
1631910600,Sep 17 2021 - 8:30pm,complete,N/A,FUS Rabat,Youssoufia Berrechid,N/A,2,0.00,0.00,1.53,0.60,1,1,2,0,0,0,"90'7","83",1,0,-1,-1,-1,-1,-1,-1,-1,-1,17,8,9,2,8,6,-1,-1,55,45,0.00,0.00,2.23,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.80,3.25,1.47,2.30,3.95,7.50,2.00,1.62,N/A
1631980800,Sep 18 2021 - 4:00pm,complete,N/A,Difaâ El Jadida,Hassania Agadir,N/A,2,0.00,0.00,1.67,1.20,2,1,3,1,1,0,"30,57","82",3,3,2,1,1,0,2,1,0,1,9,13,5,2,4,11,-1,-1,36,64,0.00,0.00,1.17,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,2.70,2.30,1.53,2.85,5.00,9.45,2.25,1.57,Stade Ben Ahmed El Abdi
1631988900,Sep 18 2021 - 6:15pm,complete,N/A,Ittihad Tanger,Chabab Mohammedia,N/A,2,0.00,0.00,1.47,0.67,1,1,2,1,1,0,"5","52",2,5,-1,-1,-1,-1,-1,-1,-1,-1,6,14,4,5,2,9,-1,-1,55,45,0.00,0.00,0.99,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,2.75,3.00,1.53,2.81,4.35,8.50,2.25,1.57,Grand Stade de Tanger
1631997000,Sep 18 2021 - 8:30pm,complete,N/A,Riadi Salmi,Maghreb Fès,N/A,2,0.00,0.00,1.47,1.20,3,0,3,2,2,0,"12,41,80","",2,3,-1,-1,-1,-1,-1,-1,-1,-1,12,12,10,7,2,5,-1,-1,47,53,0.00,0.00,1.83,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,2.60,3.00,1.60,2.88,5.50,11.50,2.38,1.57,N/A
1632067200,Sep 19 2021 - 4:00pm,complete,N/A,Raja Casablanca,Khouribga,N/A,2,0.00,0.00,2.07,1.00,2,1,3,1,1,0,"16,90","56",4,1,-1,-1,-1,-1,-1,-1,-1,-1,14,7,9,2,5,5,-1,-1,63,37,0.00,0.00,2.01,0.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.18,3.50,4.00,1.35,2.10,3.30,6.00,2.20,1.62,Stade Mohamed V
