timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1681129800,Apr 10 2023 - 12:30pm,complete,N/A,Rosenborg,Viking,Espen Eskås,1,0.00,0.00,1.00,1.33,1,0,1,0,0,0,"58","",5,5,4,0,4,1,2,2,1,4,8,12,2,5,6,7,15,13,43,57,0.00,0.00,0.94,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.35,3.30,1.21,1.72,2.13,4.85,1.67,2.10,Lerkendal Stadion (Trondheim)
1681138800,Apr 10 2023 - 3:00pm,complete,N/A,Aalesund,Vålerenga,Kristoffer Hagenes,1,0.00,0.00,0.33,1.75,0,1,1,0,0,0,"","79",3,2,3,0,1,0,1,2,1,0,8,6,6,4,2,2,11,11,47,53,0.00,0.00,1.23,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.50,2.35,1.23,1.71,2.70,4.80,1.62,2.20,Color Line Stadion (Ålesund)
1681138800,Apr 10 2023 - 3:00pm,complete,N/A,HamKam,Sandefjord,Sivert Amland,1,0.00,0.00,1.50,0.67,2,0,2,2,2,0,"29,45'3","",2,6,1,0,1,0,0,1,0,1,10,6,7,2,3,4,19,13,43,57,0.00,0.00,1.35,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.65,3.95,1.30,1.86,2.85,5.00,1.75,2.00,Briskeby Arena (Hamar)
1681138800,Apr 10 2023 - 3:00pm,complete,N/A,Sarpsborg 08,FK Bodo - Glimt,Ola Hobber Nilsen,1,0.00,0.00,1.33,3.00,0,2,2,2,0,2,"","5,13",1,3,1,1,1,0,0,2,0,1,6,15,3,8,3,7,13,16,44,56,0.00,0.00,1.05,2.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.85,1.85,1.16,1.57,2.25,3.80,1.53,2.38,Sarpsborg Stadion (Sarpsborg)
1681138800,Apr 10 2023 - 3:00pm,complete,N/A,Stabæk,Odd,Svein Tore Sinnes,1,0.00,0.00,2.00,1.25,0,0,0,0,0,0,"","",5,3,1,0,1,0,0,1,0,1,15,9,9,4,6,5,11,12,51,49,0.00,0.00,1.95,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.50,2.50,1.28,1.86,3.20,6.00,1.67,2.10,Nadderud Stadion (Bekkestua)
1681138800,Apr 10 2023 - 3:00pm,complete,N/A,Tromsø,Molde,Mohammad Usman Aslam,1,0.00,0.00,1.33,1.00,1,0,1,0,0,0,"54","",0,10,2,0,2,0,1,1,0,2,4,12,3,7,1,5,9,6,37,63,0.00,0.00,0.65,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.65,2.05,1.15,1.62,2.30,4.35,1.62,2.20,Romssa Arena (Tromsø)
1681146900,Apr 10 2023 - 5:15pm,complete,N/A,Brann,Haugesund,Rohit Saggi,1,0.00,0.00,2.33,0.33,3,0,3,2,2,0,"31,34,48","",9,7,0,0,5,0,0,0,1,4,15,9,9,5,6,4,10,18,63,37,0.00,0.00,2.05,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.75,4.15,1.18,1.68,2.33,4.60,1.80,1.95,Brann Stadion (Bergen)
1681574400,Apr 15 2023 - 4:00pm,complete,N/A,Viking,Lillestrøm,Mohammad Usman Aslam,2,0.00,0.00,2.33,2.00,2,0,2,0,0,0,"76,90'5","",4,5,1,0,3,0,0,1,0,3,11,7,5,3,6,4,8,12,54,46,0.00,0.00,1.45,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.60,2.85,1.22,1.85,2.80,5.00,1.63,2.20,SR-Bank Arena (Stavanger)
1681657200,Apr 16 2023 - 3:00pm,complete,N/A,FK Bodo - Glimt,Stabæk,Marius Hansen Grøtta,2,0.00,0.00,2.50,1.50,4,0,4,3,3,0,"3,9,23,53","",8,4,0,0,1,0,0,0,1,0,17,6,8,2,9,4,5,6,55,45,0.00,0.00,2.11,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,5.70,8.10,1.12,1.35,2.05,3.40,1.80,1.91,Aspmyra Stadion (Bodø)
1681657200,Apr 16 2023 - 3:00pm,complete,N/A,Haugesund,HamKam,Svein Tore Sinnes,2,0.00,0.00,1.67,0.00,3,2,5,1,1,0,"45,49,90","84,90'2",6,8,2,0,1,0,1,1,0,1,7,9,5,7,2,2,9,19,58,42,0.00,0.00,1.16,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.03,3.50,3.30,1.30,1.98,3.20,5.75,1.78,1.99,Haugesund Sparebank Arena (Haugesund)
