timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1648908000,Apr 02 2022 - 2:00pm,complete,N/A,Sandnes Ulf,Bryne,Magnus Koløy,1,0.00,0.00,1.19,1.07,2,1,3,3,2,1,"6,16","14",2,6,2,0,1,0,1,1,1,0,14,9,6,4,8,5,10,13,44,56,0.00,0.00,1.84,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.80,3.65,1.22,1.62,2.72,4.99,1.57,2.25,Øster Hus Arena (Sandnes)
1648990800,Apr 03 2022 - 1:00pm,complete,N/A,KFUM,Grorud,Harald Røvig Sletner,1,0.00,0.00,1.63,0.47,2,2,4,3,1,2,"23,90'5","30,45",10,6,3,0,2,0,0,3,1,1,10,6,6,4,4,2,9,12,59,41,0.00,0.00,1.82,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,4.00,4.50,1.17,1.57,2.23,4.20,1.57,2.25,KFUM Arena (Oslo)
1648990800,Apr 03 2022 - 1:00pm,complete,N/A,Ranheim,Brann,Eivind Bodding,1,0.00,0.00,1.67,2.80,0,4,4,2,0,2,"","29,45,53,87",2,6,2,0,1,0,1,1,0,1,6,7,2,6,4,1,10,14,43,57,0.00,0.00,1.07,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.50,1.92,1.18,1.58,2.45,4.33,1.57,2.25,EXTRA Arena (Ranheim)
1649086200,Apr 04 2022 - 3:30pm,complete,N/A,Skeid,Stabæk,Daniel Higraff,1,0.00,0.00,1.33,1.93,2,3,5,2,1,1,"5,78","24,66,71",4,5,1,0,1,0,0,1,1,0,11,13,7,6,4,7,11,12,45,55,0.00,0.00,1.67,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.45,1.88,1.20,1.57,2.29,4.75,1.53,2.38,Nordre Åsen kunstgress (Oslo)
1649088000,Apr 04 2022 - 4:00pm,complete,N/A,Fredrikstad,Stjørdals-Blink,N/A,1,0.00,0.00,1.27,0.53,2,2,4,3,2,1,"7,41","4,72",14,12,2,0,2,0,1,1,1,1,15,15,8,8,7,7,9,10,51,49,0.00,0.00,2.26,2.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,4.20,5.00,1.14,1.45,2.30,3.75,1.62,2.20,Nye Fredrikstad Stadion (Fredrikstad)
1649088000,Apr 04 2022 - 4:00pm,complete,N/A,Mjøndalen,Kongsvinger,Jan Morten Tennøy,1,0.00,0.00,1.93,1.61,1,0,1,1,1,0,"15","",6,9,3,0,1,0,0,3,0,1,16,10,8,6,8,4,15,11,51,49,0.00,0.00,2.07,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.45,3.25,1.22,1.60,2.85,5.00,1.57,2.25,Consto Arena (Mjøndalen)
1649088000,Apr 04 2022 - 4:00pm,complete,N/A,Sogndal,Raufoss,Steinar Hauge,1,0.00,0.00,1.67,1.07,2,0,2,1,1,0,"29,47","",4,10,2,0,2,0,2,0,1,1,18,28,6,8,12,20,10,11,45,55,0.00,0.00,1.92,3.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.70,3.95,1.18,1.57,2.27,4.33,1.57,2.25,Fosshaugane Campus (Sogndal)
1649088000,Apr 04 2022 - 4:00pm,complete,N/A,Åsane,Start,Stian Røvig Sletner,1,0.00,0.00,1.33,1.60,1,5,6,2,0,2,"48","3,23,59,61,90",6,2,1,0,0,0,0,1,0,0,12,17,4,7,8,10,6,6,50,50,0.00,0.00,1.30,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.20,2.50,1.20,1.60,2.65,4.75,1.53,2.38,Åsane Arena (Bergen)
1649520000,Apr 09 2022 - 4:00pm,complete,N/A,Brann,Åsane,Svein Tore Sinnes,2,0.00,0.00,2.60,0.80,1,1,2,0,0,0,"53","50",13,5,1,0,2,0,1,0,0,2,20,6,7,4,13,2,5,11,58,42,0.00,0.00,2.69,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,4.75,8.50,1.15,1.55,2.25,3.75,1.73,2.00,Brann Stadion (Bergen)
1649595600,Apr 10 2022 - 1:00pm,complete,N/A,Grorud,Fredrikstad,Mathias Støfringshaug,2,0.00,0.00,0.87,1.07,2,2,4,1,1,0,"24,77","51,63",7,3,3,0,3,0,1,2,1,2,13,16,6,8,7,8,8,15,49,51,0.00,0.00,1.82,2.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.50,2.00,1.17,1.57,2.27,4.00,1.53,2.38,Grorud stadion (Oslo)
