timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1612560600,Feb 05 2021 - 9:30pm,complete,N/A,Sportivo Luqueño,Guaireña,José Méndez,1,0.00,0.00,1.22,1.39,3,1,4,3,2,1,"29,40,50","11",4,6,5,0,1,0,1,4,1,0,13,10,6,5,7,5,-1,-1,47,53,0.00,0.00,1.64,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,2.80,2.65,1.40,2.00,3.20,5.75,1.80,1.83,Estadio Feliciano Cáceres (Luque)
1612568700,Feb 05 2021 - 11:45pm,complete,N/A,Guaraní,Nacional Asunción,Giancarlo Juliadoza,1,0.00,0.00,1.89,1.44,2,2,4,0,0,0,"50,55","47,68",7,3,5,1,1,1,3,3,0,2,11,8,6,3,5,5,17,7,46,54,0.00,0.00,1.41,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.05,3.00,1.36,2.00,3.15,5.50,1.83,1.80,Estadio Rogelio Lorenzo Livieres (Asunción)
1612647000,Feb 06 2021 - 9:30pm,complete,N/A,12 de Octubre,River Plate,Mario Alberto Díaz de Vivar,1,0.00,0.00,0.89,1.00,2,2,4,4,2,2,"9,27","13,15",5,4,4,0,1,0,2,2,0,1,6,8,0,4,6,4,14,11,46,54,0.00,0.00,0.77,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.15,2.05,1.30,1.80,2.95,5.00,1.71,1.95,Estadio Luis Alberto Salinas Tanasio (Itauguá)
1612655100,Feb 06 2021 - 11:45pm,complete,N/A,Sol de América,Cerro Porteño,Juan Gabriel Benítez,1,0.00,0.00,1.11,1.78,1,3,4,2,1,1,"14","43,79,81",10,2,3,0,1,0,2,1,0,1,12,6,4,0,8,6,13,4,39,61,0.00,0.00,1.50,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.30,3.65,1.62,1.25,1.71,2.55,4.20,1.71,1.91,Estadio Luís Alfonso Giagni (Asunción)
1612735200,Feb 07 2021 - 10:00pm,complete,N/A,Olimpia,Libertad,Carlos Benitez,1,0.00,0.00,1.00,2.00,0,1,1,1,0,1,"","13",7,7,5,0,4,0,2,3,2,2,12,11,4,6,8,5,8,11,51,49,0.00,0.00,1.62,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.20,2.30,1.21,1.59,2.25,3.45,1.48,2.35,Estadio Manuel Ferreira (Asunción)
1612906200,Feb 09 2021 - 9:30pm,complete,N/A,River Plate,Guaraní,Juan Eduardo López,2,0.00,0.00,0.61,1.50,1,4,5,0,0,0,"85","53,59,64,90'2",4,2,1,0,1,0,1,0,0,1,9,17,6,5,3,12,8,9,50,50,0.00,0.00,1.49,1.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.00,2.35,1.36,1.91,2.90,4.60,1.74,1.87,Estadio River Plate (Asunción)
1612914300,Feb 09 2021 - 11:45pm,complete,N/A,Nacional Asunción,Sol de América,Alipio Colman,2,0.00,0.00,1.33,1.22,1,0,1,1,1,0,"25","",4,2,2,1,3,0,0,3,1,2,11,10,4,4,7,6,14,13,52,48,0.00,0.00,1.45,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.00,2.60,1.31,1.83,2.80,4.60,1.65,2.00,Estadio Arsenio Erico (Asunción)
1612992600,Feb 10 2021 - 9:30pm,complete,N/A,Cerro Porteño,Sportivo Luqueño,Carlos Benitez,2,0.00,0.00,1.89,0.94,1,0,1,0,0,0,"65","",6,1,2,0,2,0,1,1,0,2,16,12,7,5,9,7,-1,-1,48,52,0.00,0.00,1.98,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.35,4.20,6.75,1.27,1.71,2.60,4.20,2.00,1.67,Estadio General Pablo Rojas (Asunción)
1613000700,Feb 10 2021 - 11:45pm,complete,N/A,12 de Octubre,Olimpia,Juan Gabriel Benítez,2,1.00,0.00,0.89,1.83,0,2,2,1,0,1,"","30,70",6,3,2,0,1,0,1,1,1,0,12,13,8,7,4,6,9,8,49,51,0.77,0.00,1.80,1.71,2.00,50,50,50,50,0,50,50,0,0,5.00,4.00,5.50,4.10,1.43,1.17,1.48,2.05,3.05,1.57,2.15,Estadio Luis Alberto Salinas Tanasio (Itauguá)
1613259000,Feb 13 2021 - 11:30pm,complete,N/A,Guaraní,12 de Octubre,Derlis Fabián López López,3,1.00,0.00,1.89,1.50,2,1,3,1,1,0,"15,79","72",4,9,5,0,3,0,1,4,1,2,8,12,2,6,6,6,16,13,47,53,1.41,0.00,1.12,1.76,2.00,50,50,50,50,0,0,0,50,50,7.00,7.00,1.54,3.60,5.25,1.25,1.71,2.50,4.15,1.74,1.91,Estadio Rogelio Lorenzo Livieres (Asunción)
1613338200,Feb 14 2021 - 9:30pm,complete,N/A,Sportivo Luqueño,Nacional Asunción,Juan Eduardo López,3,3.00,1.00,1.22,1.44,0,3,3,3,0,3,"","15,43,45'2",5,2,3,0,1,0,1,2,1,0,12,4,4,3,8,1,10,9,49,51,1.64,0.99,1.59,0.84,4.00,100,100,100,100,0,50,50,50,100,7.00,8.00,2.95,3.05,2.25,1.31,1.83,2.80,4.65,1.69,1.95,Estadio Feliciano Cáceres (Luque)
1613346300,Feb 14 2021 - 11:45pm,complete,N/A,Olimpia,Guaireña,Giancarlo Juliadoza,3,0.00,0.00,1.00,1.39,0,0,0,0,0,0,"","",6,4,1,0,1,0,0,1,0,1,11,4,5,2,6,2,-1,-1,49,51,1.62,1.50,1.76,0.87,2.50,50,50,50,50,0,50,100,0,50,13.00,6.00,1.48,3.90,5.50,1.24,1.62,2.40,3.75,1.69,1.95,Estadio Manuel Ferreira (Asunción)
1613424600,Feb 15 2021 - 9:30pm,complete,N/A,Sol de América,River Plate,José Méndez,3,0.00,1.00,1.11,1.00,1,1,2,0,0,0,"74","90'13",5,5,3,1,3,0,0,4,1,2,13,12,4,8,9,4,16,12,46,54,1.50,1.26,1.45,1.76,4.00,100,100,100,100,0,100,100,50,50,14.00,4.00,2.10,3.00,3.25,1.33,1.87,2.85,4.80,1.74,1.91,Estadio Luís Alfonso Giagni (Asunción)
1613432700,Feb 15 2021 - 11:45pm,complete,N/A,Libertad,Cerro Porteño,Mario Alberto Díaz de Vivar,3,0.00,3.00,1.61,1.78,2,1,3,3,2,1,"22,39","5",6,9,6,0,3,0,1,5,0,3,15,10,5,3,10,7,15,11,45,55,0.00,0.82,1.77,1.38,2.00,50,50,50,50,0,50,50,50,50,2.00,1.00,2.45,2.85,2.85,1.32,1.87,2.85,5.25,1.65,2.00,Estadio Dr. Nicolás Leoz (Asunción)
1613773800,Feb 19 2021 - 10:30pm,complete,N/A,River Plate,Sportivo Luqueño,Eber Aquino,4,0.00,0.00,0.61,0.94,1,0,1,0,0,0,"90'2","",3,1,3,0,4,0,2,1,2,2,8,9,3,2,5,7,17,18,48,52,1.49,1.47,1.21,1.09,3.00,50,50,50,50,50,0,0,50,100,5.00,3.00,2.05,3.20,3.20,1.30,1.83,2.80,4.60,1.71,1.91,Estadio River Plate (Asunción)
1613856600,Feb 20 2021 - 9:30pm,complete,N/A,12 de Octubre,Sol de América,Carlos Benitez,4,0.50,0.00,0.89,1.22,0,5,5,4,0,4,"","3,14,42,43,60",12,4,2,0,1,0,1,1,1,0,11,12,6,7,5,5,-1,-1,48,52,1.29,1.34,1.83,1.71,2.00,25,50,25,25,0,25,100,0,25,7.50,6.00,4.60,3.65,1.59,1.20,1.57,2.30,3.60,1.59,2.10,Estadio Luis Alberto Salinas Tanasio (Itauguá)
1613864700,Feb 20 2021 - 11:45pm,complete,N/A,Guaraní,Olimpia,Mario Alberto Díaz de Vivar,4,2.00,3.00,1.89,1.83,0,3,3,1,0,1,"","19,58,85",8,4,3,1,3,0,2,2,2,1,8,5,5,3,3,2,8,13,48,52,1.26,1.71,1.36,0.94,2.75,50,100,50,25,0,0,75,50,100,8.50,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Rogelio Lorenzo Livieres (Asunción)
