timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627056000,Jul 23 2021 - 4:00pm,complete,N/A,Nieciecza,Stal Mielec,Zbigniew Dobrynin,1,0.00,0.00,1.18,0.71,1,1,2,1,1,0,"41","48",1,2,2,0,2,0,1,1,0,2,9,5,3,3,6,2,12,15,52,48,0.00,0.00,1.10,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.15,3.05,1.38,2.05,3.40,6.50,1.83,1.91,Stadion Termaliki Bruk-Bet Nieciecza (Nieciecza)
1627065000,Jul 23 2021 - 6:30pm,complete,N/A,Lech Poznań,Radomiak Radom,Bartosz Frankowski,1,0.00,0.00,2.47,1.18,0,0,0,0,0,0,"","",9,5,1,0,1,0,0,1,1,0,18,8,10,2,8,6,10,8,65,35,0.00,0.00,2.48,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.65,5.25,1.32,1.91,3.05,5.75,1.87,1.91,INEA stadion (Poznań)
1627131600,Jul 24 2021 - 1:00pm,complete,N/A,Górnik Łęczna,Cracovia Kraków,Łukasz Szczech,1,0.00,0.00,1.06,1.18,1,1,2,1,1,0,"42","82",7,7,3,0,3,0,1,2,1,2,10,17,3,8,7,9,13,10,48,52,0.00,0.00,1.27,2.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.15,2.20,1.45,2.20,3.85,7.50,2.00,1.74,Stadion Górnik (Łęczna)
1627140600,Jul 24 2021 - 3:30pm,complete,N/A,Jagiellonia Białystok,Lechia Gdańsk,Tomasz Kwiatkowski,1,0.00,0.00,1.35,1.00,1,1,2,0,0,0,"55","52",5,9,2,0,1,0,0,2,0,1,15,12,6,5,9,7,12,11,51,49,0.00,0.00,1.72,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.25,2.55,1.31,1.87,2.95,5.50,1.69,2.10,Stadion Miejski (Białystok)
1627149600,Jul 24 2021 - 6:00pm,complete,N/A,Legia Warszawa,Wisła Płock,Damian Kos,1,0.00,0.00,1.76,0.76,1,0,1,1,1,0,"28","",0,6,2,0,2,0,1,1,2,0,11,16,4,6,7,10,12,20,50,50,0.00,0.00,1.27,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.35,4.35,1.42,2.15,3.70,7.00,2.00,1.77,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego (Warszawa)
1627218000,Jul 25 2021 - 1:00pm,complete,4408,Piast Gliwice,Raków Częstochowa,Szymon Marciniak,1,0.00,0.00,1.47,1.94,2,3,5,2,1,1,"5,66","43,70,74",4,6,2,0,2,0,1,1,1,1,15,16,9,10,6,6,14,17,49,51,0.00,0.00,2.13,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.15,2.85,1.45,2.20,3.80,7.25,1.95,1.80,Stadion Miejski (Gliwice)
1627227000,Jul 25 2021 - 3:30pm,complete,8278,Śląsk Wrocław,Warta Poznań,Łukasz Kuźma,1,0.00,0.00,1.00,1.41,2,2,4,1,0,1,"50,63","27,76",1,4,2,0,1,0,1,1,0,1,19,11,6,6,13,5,10,13,49,51,0.00,0.00,2.24,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.10,3.15,1.43,2.15,3.60,7.00,1.91,1.83,Stadion Miejski (Wrocław)
1627236000,Jul 25 2021 - 6:00pm,complete,N/A,Pogoń Szczecin,Górnik Zabrze,Jarosław Przybył,1,0.00,0.00,2.12,1.24,2,0,2,1,1,0,"33,66","",6,5,1,0,1,0,0,1,0,1,8,4,5,2,3,2,11,13,73,27,0.00,0.00,1.48,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,4.05,1.38,2.05,3.45,6.75,1.95,1.80,Stadion Miejski im. Floriana Krygiera (Szczecin)
1627315200,Jul 26 2021 - 4:00pm,complete,13668,Wisła Kraków,Zagłębie Lubin,Piotr Lasyk,1,0.00,0.00,1.18,0.82,3,0,3,2,2,0,"25,29,81","",8,5,4,0,1,0,2,2,1,0,11,13,5,5,6,8,16,14,59,41,0.00,0.00,1.60,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.40,3.30,1.28,1.77,2.80,4.90,1.67,2.15,Stadion Miejski im. Henryka Reymana (Kraków)
1627660800,Jul 30 2021 - 4:00pm,complete,N/A,Zagłębie Lubin,Górnik Łęczna,Sebastian Krasny,2,0.00,0.00,1.41,0.59,3,1,4,2,1,1,"21,55,85","33",2,4,0,0,2,0,0,0,0,2,8,5,5,3,3,2,13,12,51,49,0.00,0.00,1.39,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.45,4.25,1.33,1.91,3.10,6.00,1.83,1.91,Stadion Zagłębia Lubin (Lubin)
