timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1603546200,Oct 24 2020 - 1:30pm,complete,N/A,Kaizer Chiefs,Mamelodi Sundowns,Luxolo Badi,N/A,0.00,0.00,1.07,2.33,0,3,3,1,0,1,"","37,54,89",1,2,1,0,1,0,1,0,0,1,12,12,3,7,9,5,-1,-1,50,50,0.00,0.00,1.46,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,2.75,2.45,1.54,2.65,5.20,9.75,2.20,1.56,FNB Stadium (Soccer City) (Johannesburg- GA)
1603546200,Oct 24 2020 - 1:30pm,complete,N/A,Baroka,Maritzburg United,N/A,N/A,0.00,0.00,0.93,0.80,2,1,3,1,1,0,"10,57","85",0,0,2,0,4,0,0,2,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,2.60,3.40,1.56,2.75,5.45,10.25,2.25,1.54,Peter Mokaba Stadium (Polokwane (Pietersburg))
1603546200,Oct 24 2020 - 1:30pm,complete,N/A,Bloemfontein Celtic,Golden Arrows,N/A,N/A,0.00,0.00,1.53,1.47,1,1,2,1,0,1,"59","16",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,2.95,4.25,1.49,2.50,4.85,9.00,2.15,1.57,Dr. Petrus Molemela Stadium (Bloemfontein- FS)
1603555200,Oct 24 2020 - 4:00pm,complete,N/A,Cape Town City,Chippa United,Philangenkosi Khumalo,N/A,0.00,0.00,1.53,0.93,1,1,2,1,1,0,"22","53",1,4,2,0,1,0,1,1,0,1,3,13,2,6,1,7,-1,-1,50,50,0.00,0.00,0.93,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,2.80,4.50,1.50,2.55,4.95,9.25,2.20,1.56,Cape Town Stadium (Cape Town)
1603563300,Oct 24 2020 - 6:15pm,complete,N/A,AmaZulu,Orlando Pirates,Abongile Tom,N/A,0.00,0.00,1.87,1.33,1,1,2,2,1,1,"33","18",3,5,3,0,2,0,1,2,1,1,7,9,6,3,1,6,-1,-1,50,50,0.00,0.00,1.35,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,2.90,1.95,1.50,2.40,4.60,8.50,2.05,1.65,Jonsson Kings Park Stadium (Durban- KN)
1603563300,Oct 24 2020 - 6:15pm,complete,N/A,SuperSport United,Black Leopards,Thando Helpus Ndzandzeka,N/A,0.00,0.00,1.87,0.67,2,0,2,1,1,0,"25,90'5","",6,8,2,1,1,0,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.00,5.50,1.57,2.69,5.15,9.50,2.50,1.43,Lucas Masterpieces Moripe Stadium (Pretoria- GT)
1603632600,Oct 25 2020 - 1:30pm,complete,N/A,Stellenbosch,Moroka Swallows,Olani Jethro Kwinda,N/A,0.00,0.00,0.87,1.27,1,1,2,2,1,1,"27","16",2,2,3,0,1,0,1,2,0,1,9,6,3,2,6,4,-1,-1,50,50,0.00,0.00,1.19,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,2.90,2.65,1.45,2.40,4.60,8.50,2.05,1.65,Danie Craven Stadium (Stellenbosch)
1603632600,Oct 25 2020 - 1:30pm,complete,N/A,Marumo Gallants,TS Galaxy,N/A,N/A,0.00,0.00,1.27,1.07,1,1,2,1,0,1,"54","45'1",6,4,3,0,1,0,1,2,1,0,10,11,8,2,2,9,-1,-1,50,50,0.00,0.00,1.79,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,2.75,5.00,1.53,2.65,5.15,9.50,2.20,1.56,Thohoyandou Stadium (Thohoyandou)
1603819800,Oct 27 2020 - 5:30pm,complete,N/A,Black Leopards,Baroka,Thokozani Mkhize,N/A,0.00,0.00,0.87,1.33,1,3,4,3,0,3,"60","1,33,44",5,6,2,1,1,0,1,2,0,1,11,14,6,5,5,9,17,9,50,50,0.00,0.00,1.77,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.51,3.00,2.86,1.50,2.18,5.15,9.50,2.15,1.59,Thohoyandou Stadium (Thohoyandou)
1603819800,Oct 27 2020 - 5:30pm,complete,N/A,Chippa United,Kaizer Chiefs,Jelly Chavani,N/A,0.00,0.00,0.87,1.33,0,1,1,0,0,0,"","77",0,13,0,0,2,0,0,0,0,2,2,15,0,8,2,7,9,14,50,50,0.00,0.00,0.51,2.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.72,3.18,1.81,1.57,2.73,5.75,10.75,2.55,1.42,Nelson Mandela Bay Stadium (Port Elizabeth)
1603906200,Oct 28 2020 - 5:30pm,complete,N/A,Golden Arrows,SuperSport United,Thando Helpus Ndzandzeka,N/A,0.00,0.00,1.67,1.13,3,1,4,1,1,0,"38,69,90'2","87",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.60,3.50,1.63,1.47,2.50,5.25,9.75,2.30,1.51,Sugar Ray Xulu Stadium (Durban)
1603906200,Oct 28 2020 - 5:30pm,complete,N/A,TS Galaxy,AmaZulu,Thando Helpus Ndzandzeka,N/A,0.00,0.00,1.33,1.73,1,0,1,1,1,0,"27","",-1,-1,4,0,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.38,2.99,3.09,1.53,2.50,5.50,10.25,2.25,1.54,Mbombela Stadium (Nelspruit)
