timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1662215400,Sep 03 2022 - 2:30pm,complete,N/A,Real Oviedo II,SD Compostela,N/A,1,0.00,0.00,0.78,1.50,2,1,3,1,0,1,"74,89","29",4,4,-1,-1,-1,-1,-1,-1,-1,-1,11,11,7,5,4,6,-1,-1,55,45,1.83,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.05,2.70,1.36,1.96,3.75,8.25,1.80,1.91,Estadio El Requexón
1662217200,Sep 03 2022 - 3:00pm,complete,N/A,Coruxo,Arenteiro,N/A,1,0.00,0.00,1.44,2.33,0,0,0,0,0,0,"","",3,3,-1,-1,-1,-1,-1,-1,-1,-1,5,15,4,3,1,12,-1,-1,37,63,0.77,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.10,3.50,1.44,2.40,4.50,10.25,2.10,1.65,Campo do Vao
1662222600,Sep 03 2022 - 4:30pm,complete,N/A,Burgos Promesas,Club Marino de Luanco,N/A,1,0.00,0.00,0.89,1.67,0,0,0,0,0,0,"","",3,2,-1,-1,-1,-1,-1,-1,-1,-1,8,13,5,6,3,7,-1,-1,48,52,1.10,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.10,3.40,1.40,2.40,4.10,0.00,2.00,1.72,Ciudad Deportiva de Castañares
1662224400,Sep 03 2022 - 5:00pm,complete,N/A,Polvorín,Real Avilés,N/A,1,0.00,0.00,1.00,1.67,0,0,0,0,0,0,"","",0,3,-1,-1,-1,-1,-1,-1,-1,-1,6,8,0,5,6,3,-1,-1,53,47,0.64,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,3.20,1.73,1.44,2.35,4.50,8.75,2.15,1.65,Estadio Anxo Carro
1662303600,Sep 04 2022 - 3:00pm,complete,N/A,Ourense CF,Racing Santander II,N/A,1,0.00,0.00,1.67,1.44,1,2,3,0,0,0,"","",8,4,-1,-1,-1,-1,-1,-1,-1,-1,18,15,5,7,13,8,-1,-1,55,45,1.82,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,2.90,2.70,0.00,2.40,0.00,0.00,0.00,0.00,Estadio O Couto
1662305400,Sep 04 2022 - 3:30pm,complete,N/A,Langreo,CD Laredo,N/A,1,0.00,0.00,0.80,1.00,1,2,3,1,0,1,"81","19,71",6,3,2,0,5,0,0,2,1,4,14,9,5,7,9,2,-1,-1,61,39,1.98,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.20,2.88,0.00,2.35,0.00,0.00,0.00,0.00,Estadio Nuevo Ganzábal
1662307200,Sep 04 2022 - 4:00pm,complete,N/A,Bergantiños,Gimnástica Torrelavega,N/A,1,0.00,0.00,0.89,1.30,1,2,3,2,0,2,"9005","38,45",9,4,1,0,5,1,0,1,1,5,12,8,4,6,8,2,-1,-1,63,37,1.44,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.25,3.80,0.00,2.25,0.00,0.00,0.00,0.00,Estadio As Eiroas
1662307200,Sep 04 2022 - 4:00pm,complete,N/A,CD Guijuelo,Cristo Atlético,N/A,1,0.00,0.00,2.22,1.60,1,0,1,0,0,0,"71","",4,1,2,0,4,0,0,2,2,2,14,6,5,4,9,2,-1,-1,47,53,1.53,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.10,2.90,0.00,2.35,0.00,0.00,0.00,0.00,N/A
1662827400,Sep 10 2022 - 4:30pm,complete,N/A,Real Valladolid II,CD Guijuelo,N/A,2,0.00,3.00,1.67,2.22,0,1,1,1,0,1,"","28",8,6,-1,-1,-1,-1,-1,-1,-1,-1,19,8,7,2,12,6,-1,-1,61,39,2.03,0.87,0.50,0,0,0,0,0,0,0,0,50,4.00,2.00,2.05,2.90,3.60,1.35,2.30,3.74,9.00,1.97,1.73,N/A
1662829200,Sep 10 2022 - 5:00pm,complete,N/A,Cristo Atlético,Polvorín,N/A,2,0.00,1.00,1.60,1.00,0,0,0,0,0,0,"","",7,6,-1,-1,-1,-1,-1,-1,-1,-1,11,9,8,8,3,1,-1,-1,49,51,1.60,1.40,0.50,0,0,0,0,0,0,0,0,50,1.00,3.00,2.25,3.20,2.80,1.33,2.20,3.40,7.00,1.80,1.90,Estadio La Nueva Balastera
