timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627142400,Jul 24 2021 - 4:00pm,complete,13231,Luzern,Young Boys,Fedayi San,1,0.00,0.00,1.22,1.22,3,4,7,3,2,1,"27,41,52","14,59,68,90'3",5,7,1,0,4,0,0,1,1,3,11,16,7,7,4,9,12,14,47,53,0.00,0.00,1.62,2.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.65,2.20,1.24,1.62,2.45,4.15,1.56,2.35,swissporarena (Luzern)
1627151400,Jul 24 2021 - 6:30pm,complete,N/A,Lausanne Sport,St. Gallen,Urs Schnyder,1,0.00,0.00,0.78,1.22,1,2,3,1,0,1,"87","45'1,71",4,9,3,0,2,0,1,2,2,0,8,17,3,6,5,11,14,11,55,45,0.00,0.00,1.20,2.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.40,2.90,1.21,1.61,2.70,3.90,1.51,2.45,Stade de la Tuilière (Lausanne)
1627215300,Jul 25 2021 - 12:15pm,complete,2120,Lugano,Zürich,Stefan Horisberger,1,0.00,0.00,1.83,2.00,0,2,2,2,0,2,"","20,45",11,0,2,0,2,0,1,1,0,2,21,10,5,4,16,6,14,10,73,27,0.00,0.00,2.37,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.45,3.00,1.32,1.91,3.05,5.50,1.74,2.00,Stadio di Cornaredo (Lugano)
1627223400,Jul 25 2021 - 2:30pm,complete,3400,Grasshopper,Basel,Lukas Fähndrich,1,0.00,0.00,1.17,1.67,0,2,2,0,0,0,"","54,70",11,2,5,0,4,0,3,2,3,1,16,10,7,5,9,5,22,14,54,46,0.00,0.00,2.05,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.50,1.83,1.26,1.67,2.75,4.45,1.62,2.20,Stadion Letzigrund (Zürich)
1627223400,Jul 25 2021 - 2:30pm,complete,N/A,Sion,Servette,Luca Piccolo,1,0.00,0.00,1.22,1.00,1,2,3,1,0,1,"90'5","31,53",4,8,1,0,2,0,1,0,1,1,16,15,8,6,8,9,20,16,49,51,0.00,0.00,2.03,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.40,2.05,1.27,1.70,2.90,4.85,1.69,2.10,Stade de Tourbillon (Sion)
1627747200,Jul 31 2021 - 4:00pm,complete,N/A,Zürich,Lausanne Sport,Luca Cibelli,2,0.00,0.00,2.22,0.44,3,1,4,4,3,1,"7,15,41","11",4,3,1,0,3,0,1,0,2,1,17,11,9,6,8,5,11,10,39,61,0.00,0.00,2.17,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.40,3.20,1.28,1.74,2.70,4.60,1.62,2.20,Stadion Letzigrund (Zürich)
1627756200,Jul 31 2021 - 6:30pm,complete,N/A,Young Boys,Grasshopper,Sandro Schärer,2,0.00,0.00,2.11,1.06,0,0,0,0,0,0,"","",12,2,1,0,2,0,1,0,1,1,24,4,10,0,14,4,9,15,68,32,0.00,0.00,3.00,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,5.25,8.25,1.19,1.50,2.20,3.65,1.77,2.00,Stadion Wankdorf (Bern)
1627820100,Aug 01 2021 - 12:15pm,complete,12548,St. Gallen,Luzern,Adrien Jaccottet,2,0.00,0.00,1.56,1.00,2,2,4,2,2,0,"1,13","82,90'6",5,6,3,1,2,1,2,2,1,2,15,19,9,7,6,12,8,11,29,71,0.00,0.00,2.09,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.75,3.05,1.18,1.53,2.25,3.65,1.47,2.60,Kybunpark (St. Gallen)
1627828200,Aug 01 2021 - 2:30pm,complete,N/A,Basel,Sion,Urs Schnyder,2,0.00,0.00,1.78,1.06,6,1,7,5,5,0,"4,15,21,42,44,55","88",12,6,1,0,2,0,1,0,2,0,26,8,15,3,11,5,8,9,53,47,0.00,0.00,3.22,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.80,5.50,1.19,1.53,2.25,3.65,1.61,2.25,St. Jakob-Park (Basel)
1627828200,Aug 01 2021 - 2:30pm,complete,N/A,Servette,Lugano,Alain Bieri,2,0.00,0.00,1.44,1.17,0,2,2,0,0,0,"","47,49",5,7,1,0,4,0,1,0,2,2,14,5,4,3,10,2,12,8,53,47,0.00,0.00,1.76,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,4.00,1.29,1.75,2.95,5.00,1.67,2.15,Stade de Genève (Lancy)
