timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628875800,Aug 13 2021 - 5:30pm,complete,N/A,Gençlerbirliği,Eyüpspor,Murat Erdoğan,1,0.00,0.00,1.61,1.37,2,4,6,2,0,2,"63,83","13,27,77,84",8,6,4,0,2,0,1,3,1,1,16,9,7,8,9,1,14,20,56,44,0.00,0.00,2.09,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.35,3.45,1.26,1.71,2.70,4.65,1.67,2.00,Eryaman Stadyumu (Ankara)
1628957700,Aug 14 2021 - 4:15pm,complete,N/A,İstanbulspor,Manisa BBSK,Kadir Sağlam,1,0.00,0.00,1.58,1.00,3,4,7,3,1,2,"42,64,90'5","8,33,67,88",2,2,2,0,2,0,2,0,0,2,10,10,6,8,4,2,11,15,49,51,0.00,0.00,1.32,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,2.85,2.95,1.30,1.83,2.90,5.25,1.67,2.00,Necmi Kadıoğlu Stadyumu (İstanbul)
1628966700,Aug 14 2021 - 6:45pm,complete,N/A,Denizlispor,Bandırmaspor,Direnç Tonusluoğlu,1,0.00,0.00,1.61,1.42,0,2,2,2,0,2,"","29,39",2,7,2,0,2,0,1,1,0,2,2,16,0,9,2,7,9,12,28,72,0.00,0.00,0.38,2.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.25,3.90,1.56,1.20,1.57,2.35,3.90,1.65,2.05,Denizli Atatürk Stadyumu (Denizli)
1628966700,Aug 14 2021 - 6:45pm,complete,N/A,Balıkesirspor,Boluspor,Oğuzhan Aksu,1,0.00,0.00,0.44,1.28,1,0,1,0,0,0,"54","",2,9,2,0,0,0,0,2,0,0,5,11,4,4,1,7,13,8,37,63,0.00,0.00,0.90,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.05,2.15,1.31,1.87,2.95,5.25,1.71,1.95,Balıkesir Atatürk Stadyumu (Balıkesir)
1629044100,Aug 15 2021 - 4:15pm,complete,N/A,Tuzlaspor,Ankaragücü,Bülent Birincioğlu,1,0.00,0.00,1.50,1.89,1,1,2,2,1,1,"18","45'2",4,3,0,0,1,0,0,0,1,0,19,6,7,4,12,2,14,12,54,46,0.00,0.00,2.05,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.10,2.25,1.27,1.74,2.75,4.80,1.65,2.05,Vefa Stadı (İstanbul)
1629044100,Aug 15 2021 - 4:15pm,complete,N/A,Keçiörengücü,Altınordu,Oğuzhan Çakır,1,0.00,0.00,1.89,0.83,1,1,2,0,0,0,"74","90'3",7,4,2,0,1,0,0,2,1,0,10,6,7,4,3,2,12,8,57,43,0.00,0.00,1.64,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.20,3.50,1.31,1.87,2.95,5.50,1.77,1.87,Osmanlı Stadı (Ankara)
1629053100,Aug 15 2021 - 6:45pm,complete,N/A,Menemen Belediyespor,BB Erzurumspor,Abdullah Buğra Taşkınsoy,1,0.00,0.00,1.44,1.26,2,0,2,1,1,0,"37,90'4","",1,2,1,0,4,0,0,1,1,3,15,7,6,6,9,1,18,9,34,66,0.00,0.00,1.66,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.97,3.56,2.26,1.25,1.73,2.70,4.25,1.54,2.20,Menemen Şehir Stadı (Menemen)
1629053100,Aug 15 2021 - 6:45pm,complete,N/A,Bursaspor,Adanaspor,Onur Karabaş,1,0.00,0.00,1.72,0.67,1,1,2,2,1,1,"14","6",4,2,1,0,3,0,0,1,1,2,6,5,3,3,3,2,16,9,54,46,0.00,0.00,1.10,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.29,2.83,3.50,1.26,1.68,2.40,4.30,1.56,2.15,Bitci Timsah Park (Bursa)
1629135000,Aug 16 2021 - 5:30pm,complete,N/A,Kocaelispor,Ümraniyespor,Emre Kargin,1,0.00,0.00,1.78,1.67,0,3,3,1,0,1,"","5,59,69",14,0,3,1,3,2,0,4,1,4,13,6,6,5,7,1,11,10,63,37,0.00,0.00,1.94,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,2.95,2.50,1.36,2.00,3.25,6.00,1.77,1.87,Kocaeli Stadyumu (Kocaeli)
1629480600,Aug 20 2021 - 5:30pm,complete,N/A,Samsunspor,Balıkesirspor,Alper Çetin,2,0.00,0.00,1.78,0.22,3,1,4,3,2,1,"6,11,67","29",14,2,0,0,2,0,0,0,1,1,18,6,7,2,11,4,15,17,67,33,0.00,0.00,2.25,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,6.00,13.00,1.22,1.62,2.55,4.50,2.35,1.48,Samsun Yeni 19 Mayıs Stadyumu (Samsun)
1629562500,Aug 21 2021 - 4:15pm,complete,N/A,Eyüpspor,Keçiörengücü,Davut Dakul Çelik,2,0.00,0.00,1.79,0.78,2,1,3,3,2,1,"13,25","31",2,4,1,0,2,0,1,0,0,2,11,8,4,5,7,3,16,13,50,50,0.00,0.00,1.27,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.45,3.15,1.27,1.74,2.75,4.75,1.71,1.95,Eyüp Stadı (İstanbul)
1629571500,Aug 21 2021 - 6:45pm,complete,N/A,Altınordu,Tuzlaspor,Alper Akarsu,2,0.00,0.00,1.67,1.22,1,3,4,4,1,3,"31","8,21,45'1",2,5,1,0,2,0,1,0,1,1,8,12,4,8,4,4,15,19,52,48,0.00,0.00,1.21,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.05,3.00,1.29,1.80,2.90,5.00,1.67,2.00,Bornova Aziz Kocaoğlu Stadyumu (İzmir)
1629571500,Aug 21 2021 - 6:45pm,complete,N/A,Adanaspor,Gençlerbirliği,Furkan Aksuoğlu,2,0.00,0.00,1.83,1.06,0,0,0,0,0,0,"","",4,3,2,0,1,0,1,1,1,0,6,7,2,0,4,7,19,21,54,46,0.00,0.00,0.98,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.00,2.15,1.26,1.71,2.65,4.50,1.59,2.15,Yeni Adana Stadyumu (Adana)
1629640800,Aug 22 2021 - 2:00pm,complete,N/A,Bandırmaspor,Menemen Belediyespor,Burak Pakkan,2,0.00,0.00,1.90,0.67,1,0,1,0,0,0,"84","",4,1,4,0,2,0,2,2,1,1,7,4,2,2,5,2,16,22,63,37,0.00,0.00,1.04,0.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.55,4.32,1.26,1.72,3.00,4.60,1.69,1.95,Bandırma 17 Eylül Stadı (Bandırma)
1629640800,Aug 22 2021 - 2:00pm,complete,N/A,Ümraniyespor,İstanbulspor,Çağdaş Altay,2,0.00,0.00,2.22,1.80,2,0,2,1,1,0,"19,76","",3,12,2,0,1,0,2,0,1,0,5,6,4,0,1,6,14,8,44,56,0.00,0.00,0.88,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.11,3.33,2.90,1.27,1.70,3.00,4.85,1.67,2.00,Ümraniye Hekimbaşı Şehir Stadyumu (İstanbul)
1629648900,Aug 22 2021 - 4:15pm,complete,N/A,Ankaragücü,Kocaelispor,Turgut Doman,2,0.00,0.00,2.00,0.67,0,0,0,0,0,0,"","",4,3,2,0,1,0,1,1,0,1,4,9,2,2,2,7,12,15,61,39,0.00,0.00,0.85,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.69,3.40,4.15,1.27,1.74,2.70,4.65,1.71,1.95,Eryaman Stadyumu (Ankara)
